trajectory,T (ms),volume_1 (mm),volume_2 (mm),volume_3 (mm),k,pressure_1 (bar),pressure_2 (bar),pressure_3 (bar),base_x (cm),base_y (cm),base_z (cm),tip_x (cm),tip_y (cm),tip_z (cm),tip_velocity_x (cm/s),tip_velocity_y (cm/s),tip_velocity_z (cm/s),tip_acceleration_x (cm/ss),tip_acceleration_y (cm/ss),tip_acceleration_z (cm/ss),timestamp
0,0.0,115.00494921874994,115.00147656249996,115.00147656249996,0,-0.0172530590001612,-0.0013054595973898,-0.0746014399048796,5.1533833,1.7588943,-7.1149287,2.2916102,-0.1873827,-0.3029647,,,,,,,1753149303.1156373
0,25.559425354003906,115.00494921874994,115.00147656249996,115.00147656249996,1,-0.0159410393043314,-0.0026174792932209,-0.0680413414257309,5.1533833,1.7588943,-7.1149287,2.2916102,-0.1873827,-0.3029647,0.0,0.0,0.0,,,,1753149303.1411967
0,47.06382751464844,115.00494921874994,115.00147656249996,115.00147656249996,2,-0.0172530590001612,0.0026305994900965,-0.0693533611215606,5.1533833,1.7588943,-7.1149287,2.291522,-0.18761249,-0.30323476,-0.0041021775,-0.010685618,-0.012559316,-0.1907599,-0.49690375,-0.5840347,1753149303.1627011
0,68.49861145019531,115.00494921874994,115.00147656249996,115.00147656249996,3,-0.0146290196085017,6.560098437802253e-06,-0.0693533611215606,5.1533833,1.7588943,-7.1149287,2.291449,-0.18778092,-0.30325562,-0.0066853724,-0.016406182,-0.0110201575,-0.17671075,-0.45089948,-0.45286644,1753149303.184136
0,89.72311019897461,115.00494921874994,115.00147656249996,115.00147656249996,4,-0.0146290196085017,0.0013185797942689,-0.0706653808173904,5.1533833,1.7588943,-7.1149287,2.291391,-0.18791565,-0.3032723,-0.00809818,-0.019473376,-0.009601886,-0.15468161,-0.38962197,-0.3489287,1753149303.2053604
0,110.86487770080566,115.00494921874994,115.00147656249996,115.00147656249996,5,-0.0159410393043314,0.0039426191859277,-0.0667293217299012,5.1533833,1.7588943,-7.1149287,2.2911522,-0.18794706,-0.30332762,-0.017764702,-0.017064182,-0.010297241,-0.21519007,-0.28890672,-0.28572097,1753149303.2265022
0,131.99543952941895,115.00494921874994,115.00147656249996,115.00147656249996,6,-0.0172530590001612,0.0013185797942689,-0.0522971050757739,5.1533833,1.7588943,-7.1149287,2.2909615,-0.18797219,-0.30337188,-0.023245025,-0.014840304,-0.0103313755,-0.22402312,-0.21007645,-0.22889987,1753149303.2476327
0,153.1529426574707,115.00494921874994,115.00147656249996,115.00147656249996,7,-0.0172530590001612,6.560098437802253e-06,-0.0706653808173904,5.1533833,1.7588943,-7.1149287,2.2911973,-0.1878974,-0.303506,-0.0074557364,-0.008337237,-0.014602927,-0.029963747,-0.106588244,-0.2234985,1753149303.2687902
0,174.19981956481934,115.00494921874994,115.00147656249996,115.00147656249996,8,-0.0146290196085017,0.0013185797942689,-0.0588572035549226,5.1533833,1.7588943,-7.1149287,2.291173,-0.18780181,-0.3037154,-0.0071245744,-0.0021276944,-0.02163199,-0.020824097,-0.026263818,-0.24559316,1753149303.2898371
0,195.6796646118164,115.00494921874994,115.00147656249996,115.00147656249996,9,-0.0106929605210124,6.560098437802253e-06,-0.0680413414257309,5.1533833,1.7588943,-7.1149287,2.2911534,-0.18772534,-0.30388293,-0.00660983,0.0018583321,-0.025104756,-0.011866466,0.016103055,-0.22880965,1753149303.311317
0,217.90409088134766,115.00494921874994,115.00147656249996,115.00147656249996,10,0.0102993546122635,6.560098437802253e-06,-0.0129365142008814,5.1533833,1.7588943,-7.1149287,2.2912047,-0.18768719,-0.30387858,-0.0029835387,0.0032033776,-0.019887755,0.023140214,0.024986653,-0.13609937,1753149303.3335414
0,239.25232887268066,115.00494921874994,115.00147656249996,115.00147656249996,11,0.0352277288330288,0.0026305994900965,0.0592245690697548,5.1533833,1.7588943,-7.1149287,2.2912145,-0.18747556,-0.30381224,-0.0019334074,0.012475759,-0.012802969,0.028350279,0.10685721,-0.042506002,1753149303.3548896
0,260.1957321166992,115.00494921874994,115.00147656249996,115.00147656249996,12,0.0667162015329428,0.0013185797942689,0.0933370811613283,5.1533833,1.7588943,-7.1149287,2.291222,-0.18730627,-0.30375916,-0.0011778862,0.018064348,-0.0077085933,0.029895108,0.13885427,0.014644172,1753149303.375833
0,281.43858909606934,115.00494921874994,115.00147656249996,115.00147656249996,13,0.0942686151453675,-0.0039294989890521,0.1825544204777514,5.1533833,1.7588943,-7.1149287,2.2913976,-0.18763536,-0.30319324,0.0073225624,-0.0010402445,0.020473419,0.10394631,-0.06878296,0.277044,1753149303.397076
0,302.4473190307617,115.00494921874994,115.00147656249996,115.00147656249996,14,0.1349412257160898,-0.0013054595973898,0.2717717597941744,5.1533833,1.7588943,-7.1149287,2.2915356,-0.18975842,-0.3024932,0.012431203,-0.10188932,0.049699873,0.13179111,-1.0151056,0.49986988,1753149303.4180846
0,323.6660957336426,115.00494921874994,115.00147656249996,115.00147656249996,15,0.1415013241952386,0.0013185797942689,0.3701732369814058,5.1533833,1.7588943,-7.1149287,2.291646,-0.19145687,-0.3019332,0.015151822,-0.16155596,0.06615263,0.1310764,-1.3744793,0.55497324,1753149303.4393034
0,344.7732925415039,115.00494921874994,115.00147656249996,115.00147656249996,16,0.1493734423702171,-0.0013054595973898,0.4856309702144238,5.1533833,1.7588943,-7.1149287,2.2922387,-0.19565709,-0.3019192,0.040202335,-0.32823876,0.05358544,0.3422258,-2.6789765,0.32489893,1753149303.4604106
