episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-178.62863,100,100,0.4054429531097412,-178.62863,-178.62863,-178.62863
2,-187.40207,100,200,0.4559297561645508,-183.01535,-183.01535,-183.01535
3,-179.53094,100,300,0.5073609352111816,-181.85388,-181.85388,-181.85388
4,-182.54898,100,400,0.5572960376739502,-182.02765,-182.02765,-182.02765
5,-184.02708,100,500,0.6105873584747314,-182.42754,-182.42754,-182.42754
6,-179.57819,100,600,0.7444939613342285,-181.95264,-181.95264,-181.95264
7,-186.83444,100,700,0.7949433326721191,-182.65004,-182.65004,-182.65004
8,-185.61205,100,800,0.8460323810577393,-183.0203,-183.0203,-183.0203
9,-180.2042,100,900,0.8972427845001221,-182.7074,-182.7074,-182.7074
10,-194.19939,100,1000,0.9473466873168945,-183.8566,-183.8566,-183.8566
11,-191.02733,100,1100,1.0663907527923584,-185.09647,-184.50848,-184.50848
12,-187.54398,100,1200,1.114973783493042,-185.11064,-184.76143,-184.76143
13,-171.80618,100,1300,1.1634140014648438,-184.33817,-183.76488,-183.76488
14,-191.92319,100,1400,1.2119221687316895,-185.2756,-184.34761,-184.34761
15,-188.27466,100,1500,1.2622599601745605,-185.70036,-184.6094,-184.6094
16,-187.63008,100,1600,1.3752775192260742,-186.50554,-184.7982,-184.7982
17,-173.12555,100,1700,1.424567461013794,-185.13467,-184.11157,-184.11157
18,-190.14153,100,1800,1.4747276306152344,-185.58759,-184.44658,-184.44658
19,-192.65077,100,1900,1.5240099430084229,-186.83226,-184.87837,-184.87837
20,-173.52928,100,2000,1.5723049640655518,-184.76524,-184.31093,-184.31093
21,-175.30014,100,2100,1.9480135440826416,-183.19254,-183.88184,-183.88184
22,-184.43637,100,2200,1.9963617324829102,-182.88179,-183.90704,-183.90704
23,-184.52715,100,2300,2.0457041263580322,-184.15387,-183.93399,-183.93399
24,-175.47638,100,2400,2.09618878364563,-182.50919,-183.5816,-183.5816
25,-173.85492,100,2500,2.145641326904297,-181.06721,-183.19254,-183.19254
26,-183.7758,100,2600,2.257255792617798,-180.6818,-183.21498,-183.21498
27,-173.91624,100,2700,2.308997631072998,-180.76085,-182.87057,-182.87057
28,-173.23825,100,2800,2.3587722778320312,-179.07053,-182.52657,-182.52657
29,-176.01234,100,2900,2.408857822418213,-177.40668,-182.30193,-182.30193
30,-180.5424,100,3000,2.4575929641723633,-178.108,-182.24327,-182.24327
31,-172.9308,100,3100,2.573519229888916,-177.87106,-181.94287,-181.94287
32,-175.54729,100,3200,2.623202085494995,-176.98215,-181.74301,-181.74301
33,-165.51622,100,3300,2.6746044158935547,-175.08105,-181.25128,-181.25128
34,-161.2816,100,3400,2.7238011360168457,-173.66159,-180.66394,-180.66394
35,-174.73764,100,3500,2.7724814414978027,-173.74986,-180.49463,-180.49463
36,-180.54417,100,3600,2.8951783180236816,-173.4267,-180.496,-180.496
37,-172.21704,100,3700,2.944319009780884,-173.25679,-180.27225,-180.27225
38,-156.85767,100,3800,2.9934332370758057,-171.61871,-179.65607,-179.65607
39,-155.36139,100,3900,3.0420854091644287,-169.55362,-179.03313,-179.03313
40,-171.53459,100,4000,3.0904123783111572,-168.65282,-178.84567,-178.84567
41,-170.51807,100,4100,3.4828596115112305,-168.41156,-178.64256,-178.64256
42,-164.12993,100,4200,3.533489227294922,-167.26982,-178.29703,-178.29703
43,-150.8726,100,4300,3.5826570987701416,-165.80547,-177.65924,-177.65924
44,-167.03734,100,4400,3.6331775188446045,-166.38104,-177.41783,-177.41783
45,-157.13272,100,4500,3.683469295501709,-164.62054,-176.96706,-176.96706
46,-167.02353,100,4600,3.796128749847412,-163.2685,-176.75089,-176.75089
47,-161.44603,100,4700,3.845506429672241,-162.19139,-176.42526,-176.42526
48,-170.30309,100,4800,3.8947246074676514,-163.53592,-176.29771,-176.29771
49,-151.96213,100,4900,3.944084644317627,-163.19601,-175.80106,-175.80106
50,-167.84943,100,5000,3.9934487342834473,-162.82748,-175.64203,-175.64203
51,-162.3673,100,5100,4.117471218109131,-162.01242,-175.31682,-175.38174
52,-159.51938,100,5200,4.167288064956665,-161.55136,-174.75916,-175.07669
53,-166.52956,100,5300,4.217867612838745,-163.11705,-174.49915,-174.91542
54,-153.9121,100,5400,4.26688289642334,-161.80453,-173.92639,-174.52647
55,-171.31058,100,5500,4.315925121307373,-163.22232,-173.67207,-174.468
56,-164.64346,100,5600,4.432992219924927,-162.98428,-173.37338,-174.29259
57,-166.20218,100,5700,4.481934547424316,-163.45992,-172.96072,-174.15065
58,-167.12509,100,5800,4.532548904418945,-163.14212,-172.59097,-174.02951
59,-175.57483,100,5900,4.583151340484619,-165.50339,-172.49841,-174.05571
60,-149.65623,100,6000,4.632598876953125,-163.68407,-171.60754,-173.64906
61,-158.1555,100,6100,5.8563926219940186,-163.2629,-170.9501,-173.39507
62,-153.8693,100,6200,6.183706998825073,-162.69789,-170.27658,-173.08012
63,-146.905,100,6300,6.234615087509155,-160.73543,-169.7786,-172.66466
64,-156.794,100,6400,6.2851502895355225,-161.0236,-169.07599,-172.41666
65,-162.40741,100,6500,6.334384202957153,-160.1333,-168.55865,-172.26266
66,-149.64655,100,6600,6.458549976348877,-158.63359,-167.79898,-171.92
67,-154.54083,100,6700,6.5130627155303955,-157.46745,-167.42729,-171.66061
68,-153.23912,100,6800,6.564128398895264,-156.07887,-166.68924,-171.38971
69,-159.03339,100,6900,6.614288806915283,-154.42473,-166.01689,-171.21063
70,-147.1746,100,7000,6.6652631759643555,-154.17656,-165.48979,-170.86726
71,-151.40063,100,7100,6.7934653759002686,-153.50107,-165.0118,-170.59308
72,-153.09009,100,7200,6.842398405075073,-153.42317,-164.38486,-170.34999
73,-149.11101,100,7300,6.891839027404785,-153.64377,-163.67656,-170.05905
74,-152.5264,100,7400,6.9407639503479,-153.21701,-163.21754,-169.82211
75,-161.1793,100,7500,6.9903247356414795,-153.09421,-162.96405,-169.7069
76,-151.19373,100,7600,7.114139795303345,-153.24892,-162.31241,-169.46329
77,-146.48088,100,7700,7.166430711746216,-152.44292,-161.76372,-169.16481
78,-156.01479,100,7800,7.218525171279907,-152.72049,-161.41924,-168.99622
79,-158.38937,100,7900,7.2682037353515625,-152.6561,-161.06677,-168.86195
80,-151.01508,100,8000,7.317199468612671,-153.04013,-160.47623,-168.63887
81,-149.64377,100,8100,7.443601131439209,-152.86446,-160.01048,-168.40436
82,-148.64963,100,8200,7.801692724227905,-152.42041,-159.47252,-168.16344
83,-136.70093,100,8300,7.85245943069458,-151.1794,-158.89622,-167.78438
84,-135.54279,100,8400,7.902324438095093,-149.48103,-158.38144,-167.40056
85,-145.72696,100,8500,7.952122926712036,-147.93578,-157.80124,-167.14557
86,-139.54276,100,8600,8.078161239624023,-146.77069,-156.98122,-166.8246
87,-135.03369,100,8700,8.140544176101685,-145.62598,-156.23755,-166.45918
88,-148.33284,100,8800,8.189825534820557,-144.85779,-156.06705,-166.25322
89,-139.54747,100,8900,8.23950719833374,-142.9736,-155.75076,-165.95316
90,-141.95956,100,9000,8.289297580718994,-142.06804,-155.15926,-165.68657
91,-144.86053,100,9100,8.409795761108398,-141.58972,-154.6461,-165.4577
92,-142.91772,100,9200,8.460139274597168,-141.01653,-154.22186,-165.2127
93,-142.44342,100,9300,8.508955478668213,-141.59077,-154.05328,-164.96788
94,-142.10062,100,9400,8.559741497039795,-142.24655,-153.55453,-164.72461
95,-134.55449,100,9500,8.611201763153076,-141.1293,-153.10298,-164.40703
96,-144.3373,100,9600,8.737837314605713,-141.60875,-152.64926,-164.19795
97,-145.48488,100,9700,8.789437055587769,-142.65388,-152.33003,-164.00505
98,-140.99284,100,9800,8.8404700756073,-141.91988,-151.74384,-163.77023
99,-149.07788,100,9900,8.889661312103271,-142.87292,-151.68613,-163.62183
100,-146.70984,100,10000,8.939007997512817,-143.34795,-151.26337,-163.4527
101,-141.23949,100,10100,9.064906120300293,-142.98586,-150.8408,-163.07881
102,-143.28593,100,10200,9.118086814880371,-143.02266,-150.51613,-162.63765
103,-137.26218,100,10300,9.472389936447144,-142.50455,-149.93079,-162.21495
104,-120.502075,100,10400,9.522054433822632,-140.3447,-149.26257,-161.59448
105,-133.1072,100,10500,9.572870016098022,-140.19997,-148.49852,-161.08528
106,-126.4408,100,10600,9.714378118515015,-138.41031,-147.73447,-160.55391
107,-138.97014,100,10700,9.765183448791504,-137.75883,-147.18982,-160.07526
108,-130.81963,100,10800,9.816283941268921,-136.7415,-146.46371,-159.52734
109,-128.71297,100,10900,9.865820407867432,-134.70502,-145.52647,-159.0124
110,-132.02734,100,11000,9.914278030395508,-133.23679,-145.17389,-158.3907
111,-122.3589,100,11100,10.039134502410889,-131.34871,-144.45796,-157.70404
112,-130.52432,100,11200,10.0887930393219,-130.07254,-143.99106,-157.13383
113,-140.1216,100,11300,10.140512228012085,-130.35849,-143.85541,-156.81699
114,-129.32843,100,11400,10.189450979232788,-131.24113,-143.30609,-156.19104
115,-132.19296,100,11500,10.23908805847168,-131.14972,-142.7018,-155.63022
116,-136.09988,100,11600,10.367707967758179,-132.11562,-142.43086,-155.11493
117,-142.13815,100,11700,10.418842077255249,-132.43242,-142.18282,-154.80502
118,-138.88535,100,11800,10.468806743621826,-133.239,-141.89572,-154.29248
119,-147.0118,100,11900,10.519372463226318,-135.06888,-141.65529,-153.83609
120,-148.87338,100,12000,10.570033311843872,-136.7535,-141.68927,-153.58954
121,-147.72865,100,12100,10.701619625091553,-139.29045,-141.61583,-153.31381
122,-143.22478,100,12200,10.752245664596558,-140.5605,-141.41852,-152.9017
123,-133.50452,100,12300,11.075467109680176,-139.89877,-141.1064,-152.39148
124,-130.88416,100,12400,11.12477445602417,-140.05437,-140.67355,-151.94554
125,-142.65134,100,12500,11.173405647277832,-141.1002,-140.303,-151.63351
126,-137.02866,100,12600,11.301452875137329,-141.19308,-140.0197,-151.16603
127,-128.98357,100,12700,11.351041078567505,-139.87761,-139.66975,-150.7167
128,-138.53696,100,12800,11.403324604034424,-139.84277,-139.32019,-150.36969
129,-131.31668,100,12900,11.453325510025024,-138.27328,-138.77875,-149.92274
130,-146.75613,100,13000,11.502940893173218,-138.06154,-138.69357,-149.58488
131,-134.21822,100,13100,11.628258466720581,-136.7105,-138.38506,-149.19775
132,-135.38676,100,13200,11.677667140960693,-135.9267,-138.11978,-148.79614
133,-136.86237,100,13300,11.7255380153656,-136.26248,-138.12303,-148.50961
134,-131.13002,100,13400,11.775633096694946,-136.28708,-138.03476,-148.2081
135,-126.63587,100,13500,11.82458209991455,-134.68552,-137.65294,-147.72708
136,-131.27524,100,13600,11.949857234954834,-134.11018,-137.4876,-147.23439
137,-130.06548,100,13700,11.998742580413818,-134.21837,-137.38823,-146.81288
138,-131.5929,100,13800,12.049185514450073,-133.52396,-137.05342,-146.56023
139,-152.4157,100,13900,12.102269411087036,-135.63387,-137.31079,-146.53078
140,-126.009766,100,14000,12.154533624649048,-133.55922,-136.99179,-146.07553
141,-141.95422,100,14100,12.286463022232056,-134.33282,-136.93367,-145.78989
142,-135.5081,100,14200,12.33654260635376,-134.34496,-136.78548,-145.50368
143,-134.37619,100,14300,12.387416362762451,-134.09634,-136.62413,-145.3387
144,-117.67337,100,14400,12.749630212783813,-132.75069,-136.13559,-144.84506
145,-115.109604,100,14500,12.797910451889038,-131.59805,-135.74669,-144.42484
146,-115.09197,100,14600,12.933936357498169,-129.97972,-135.16177,-143.90552
147,-113.47538,100,14700,12.984187364578247,-128.32071,-134.5216,-143.42581
148,-122.71734,100,14800,13.036712169647217,-127.43315,-134.15608,-142.94997
149,-116.25999,100,14900,13.085762977600098,-123.81759,-133.49971,-142.59293
150,-111.64814,100,15000,13.137548446655273,-122.38143,-132.7985,-142.03091
151,-110.320076,100,15100,13.263554096221924,-119.21802,-132.18011,-141.51045
152,-119.64923,100,15200,13.313599109649658,-117.632126,-131.70738,-141.11176
153,-118.36326,100,15300,13.362936973571777,-116.03084,-131.32939,-140.63008
154,-117.83945,100,15400,13.412276029586792,-116.04745,-131.27614,-140.26936
155,-117.07585,100,15500,13.461764574050903,-116.244064,-130.9555,-139.72702
156,-121.563576,100,15600,13.589455366134644,-116.89122,-130.85796,-139.29622
157,-122.904526,100,15700,13.637465715408325,-117.834145,-130.53665,-138.86324
158,-130.25581,100,15800,13.689125299453735,-118.588,-130.52538,-138.49454
159,-118.85055,100,15900,13.738414764404297,-118.84706,-130.32814,-137.92729
160,-120.54573,100,16000,13.787178039550781,-119.73682,-130.09851,-137.63618
161,-118.80938,100,16100,13.910862445831299,-120.58573,-130.02753,-137.24274
162,-127.10305,100,16200,13.962675333023071,-121.331116,-129.95908,-136.97508
163,-118.368324,100,16300,14.0118887424469,-121.33162,-129.52402,-136.68971
164,-124.073044,100,16400,14.332767963409424,-121.95498,-129.41891,-136.3625
165,-111.75314,100,16500,14.382162094116211,-121.422714,-129.01012,-135.85596
166,-107.34632,100,16600,14.504243850708008,-120.00099,-128.43504,-135.43295
167,-115.077774,100,16700,14.556207180023193,-119.21831,-127.89383,-135.03831
168,-124.153564,100,16800,14.605764150619507,-118.60809,-127.5992,-134.74747
169,-120.585724,100,16900,14.655946016311646,-118.7816,-127.07069,-134.36299
170,-125.6513,100,17000,14.707040071487427,-119.29216,-126.60625,-134.14775
171,-127.39452,100,17100,14.834196329116821,-120.15067,-126.199554,-133.90768
172,-135.16199,100,17200,14.882238388061523,-120.956566,-126.0383,-133.72841
173,-126.391815,100,17300,14.93061900138855,-121.75893,-125.896034,-133.5012
174,-122.54951,100,17400,14.979645252227783,-121.60658,-125.72935,-133.20145
175,-131.27158,100,17500,15.028482913970947,-123.55841,-125.50175,-132.90237
176,-124.43479,100,17600,15.15370488166809,-125.26726,-125.24986,-132.63478
177,-127.08765,100,17700,15.20301866531372,-126.46824,-125.21195,-132.44086
178,-126.4942,100,17800,15.25104308128357,-126.70229,-124.971115,-132.14563
179,-120.53359,100,17900,15.300933837890625,-126.69708,-124.75544,-131.76709
180,-126.78629,100,18000,15.350261688232422,-126.810585,-124.35605,-131.5248
181,-128.74147,100,18100,15.474964141845703,-126.94529,-124.246506,-131.31577
182,-127.502884,100,18200,15.525084495544434,-126.17938,-124.08884,-131.10431
183,-126.54169,100,18300,15.575312614440918,-126.19436,-123.882416,-131.00273
184,-127.008026,100,18400,15.62444257736206,-126.64021,-123.79997,-130.91737
185,-119.49938,100,18500,15.922363519668579,-125.463,-123.657234,-130.65509
186,-121.229126,100,18600,16.046091556549072,-125.14243,-123.45633,-130.47197
187,-116.53172,100,18700,16.095400094985962,-124.08684,-123.185646,-130.28693
188,-120.12419,100,18800,16.14919376373291,-123.44983,-122.95627,-130.00485
189,-121.64382,100,18900,16.1997709274292,-123.56085,-122.34084,-129.8258
190,-119.33146,100,19000,16.25101661682129,-122.81537,-122.20728,-129.59952
191,-119.02899,100,19100,16.377339601516724,-121.84414,-121.74877,-129.34122
192,-115.24535,100,19200,16.42683696746826,-120.618385,-121.343506,-129.0645
193,-110.17331,100,19300,16.477391481399536,-118.981544,-120.85947,-128.74179
194,-116.57068,100,19400,16.527886152267456,-117.937805,-120.8374,-128.48648
195,-121.00189,100,19500,16.57598376274109,-118.08806,-120.95525,-128.35095
