episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-197.22849,100,100,0.4554586410522461,-197.22849,-197.22849,-197.22849
2,-210.73996,100,200,0.5696344375610352,-203.98422,-203.98422,-203.98422
3,-198.62636,100,300,0.682135820388794,-202.19826,-202.19826,-202.19826
4,-195.39192,100,400,0.8066892623901367,-200.49667,-200.49667,-200.49667
5,-197.00885,100,500,0.9132404327392578,-199.7991,-199.7991,-199.7991
6,-179.30424,100,600,1.1164982318878174,-196.3833,-196.3833,-196.3833
7,-185.01544,100,700,1.2382209300994873,-194.75931,-194.75931,-194.75931
8,-191.17911,100,800,1.3551437854766846,-194.3118,-194.3118,-194.3118
9,-184.49898,100,900,1.4769363403320312,-193.2215,-193.2215,-193.2215
10,-190.70055,100,1000,1.5985918045043945,-192.96939,-192.96939,-192.96939
11,-191.35721,100,1100,1.7803025245666504,-192.38226,-192.82285,-192.82285
12,-171.16463,100,1200,1.9106526374816895,-188.42473,-191.01799,-191.01799
13,-179.99245,100,1300,2.023913621902466,-186.56134,-190.16986,-190.16986
14,-195.06808,100,1400,2.1272614002227783,-186.52896,-190.51974,-190.51974
15,-172.95459,100,1500,2.236703395843506,-184.12354,-189.34872,-189.34872
16,-171.0635,100,1600,2.413724660873413,-183.29945,-188.2059,-188.2059
17,-174.23216,100,1700,2.5288403034210205,-182.22112,-187.38391,-187.38391
18,-162.29416,100,1800,2.6330978870391846,-179.33264,-185.99005,-185.99005
19,-174.1569,100,1900,2.738020420074463,-178.29843,-185.36725,-185.36725
20,-191.37675,100,2000,2.8469502925872803,-178.36604,-185.66772,-185.66772
21,-179.29694,100,2100,3.030391216278076,-177.16,-185.36435,-185.36435
22,-167.01088,100,2200,3.1398308277130127,-176.74464,-184.5301,-184.5301
23,-171.73616,100,2300,3.250082492828369,-175.91902,-183.97385,-183.97385
24,-187.3763,100,2400,3.3644750118255615,-175.14984,-184.1156,-184.1156
25,-186.04587,100,2500,3.4681715965270996,-176.45897,-184.19281,-184.19281
26,-182.15968,100,2600,3.641420364379883,-177.56857,-184.11461,-184.11461
27,-192.50934,100,2700,3.745666980743408,-179.39629,-184.42552,-184.42552
28,-181.82161,100,2800,3.8558621406555176,-181.34903,-184.33253,-184.33253
29,-192.36212,100,2900,3.9601118564605713,-183.16959,-184.60942,-184.60942
30,-182.26959,100,3000,4.083057403564453,-182.25883,-184.53143,-184.53143
31,-169.9953,100,3100,4.2672438621521,-181.32869,-184.06252,-184.06252
32,-168.77408,100,3200,4.386790037155151,-181.50499,-183.58476,-183.58476
33,-180.45337,100,3300,4.491511106491089,-182.37672,-183.48988,-183.48988
34,-182.14366,100,3400,4.60532546043396,-181.85347,-183.45029,-183.45029
35,-173.88329,100,3500,4.714583396911621,-180.63719,-183.17694,-183.17694
36,-165.30563,100,3600,4.882544755935669,-178.95181,-182.68051,-182.68051
37,-183.50261,100,3700,4.986252307891846,-178.05112,-182.70273,-182.70273
38,-172.16135,100,3800,5.095753192901611,-177.0851,-182.42532,-182.42532
39,-163.15453,100,3900,5.204857349395752,-174.16434,-181.93118,-181.93118
40,-183.37378,100,4000,5.309892654418945,-174.27475,-181.96725,-181.96725
41,-175.65263,100,4100,5.490790843963623,-174.84048,-181.81325,-181.81325
42,-175.34377,100,4200,5.601200103759766,-175.49747,-181.65921,-181.65921
43,-172.28885,100,4300,5.704878091812134,-174.681,-181.4413,-181.4413
44,-166.74449,100,4400,5.8104567527771,-173.14108,-181.10728,-181.10728
45,-179.85019,100,4500,5.922948360443115,-173.7378,-181.07935,-181.07935
46,-164.508,100,4600,6.091241359710693,-173.658,-180.71912,-180.71912
47,-153.20135,100,4700,6.1952807903289795,-170.6279,-180.13362,-180.13362
48,-164.3143,100,4800,6.299185514450073,-169.8432,-179.80403,-179.80403
49,-187.96568,100,4900,6.414608478546143,-172.32431,-179.9706,-179.9706
50,-169.88153,100,5000,6.5178303718566895,-170.97507,-179.76883,-179.76883
51,-162.58125,100,5100,6.685006141662598,-169.66794,-179.07588,-179.43181
52,-173.18256,100,5200,6.790241718292236,-169.45183,-178.32472,-179.31163
53,-175.29414,100,5300,6.899626731872559,-169.75235,-177.8581,-179.23582
54,-180.5066,100,5400,7.003014802932739,-171.12857,-177.5604,-179.25937
55,-162.40749,100,5500,7.112685441970825,-169.38428,-176.86836,-178.95297
56,-170.61093,100,5600,7.280688524246216,-169.9946,-176.69449,-178.804
57,-170.37466,100,5700,7.3906238079071045,-171.71191,-176.40167,-178.65613
58,-167.9367,100,5800,7.495525598526001,-172.07414,-175.93681,-178.47131
59,-173.62238,100,5900,7.598548650741577,-170.63982,-175.71928,-178.38911
60,-158.23225,100,6000,7.7094762325286865,-169.47491,-175.06992,-178.05318
61,-151.24287,100,6100,7.886180877685547,-168.34106,-174.26765,-177.61366
62,-143.34084,100,6200,7.989437818527222,-165.3569,-173.71117,-177.06088
63,-151.1129,100,6300,8.094109058380127,-162.93875,-173.13358,-176.64902
64,-131.76256,100,6400,8.203842878341675,-158.06436,-171.86748,-175.94765
65,-131.3613,100,6500,8.313604593276978,-154.95975,-171.0356,-175.2617
66,-127.08498,100,6600,8.49046015739441,-150.60715,-170.15604,-174.53175
67,-126.24951,100,6700,8.595125913619995,-146.19463,-169.19637,-173.81113
68,-128.03195,100,6800,8.704140663146973,-142.20416,-168.51114,-173.13791
69,-122.38671,100,6900,8.809163570404053,-137.0806,-167.47572,-172.40239
70,-123.75354,100,7000,8.92389178276062,-133.63272,-166.12326,-171.70741
71,-123.02249,100,7100,9.095151424407959,-130.81068,-164.99777,-171.0217
72,-119.04925,100,7200,9.204911947250366,-128.38152,-164.03853,-170.29985
73,-122.66518,100,7300,9.314251184463501,-125.53674,-163.05711,-169.64731
74,-114.53728,100,7400,9.424415826797485,-123.814224,-161.60033,-168.90259
75,-123.046646,100,7500,9.537935495376587,-122.98275,-160.34036,-168.29117
76,-121.54722,100,7600,9.706697702407837,-122.42898,-159.12811,-167.67612
77,-126.206436,100,7700,9.81105375289917,-122.42467,-157.80205,-167.13754
78,-121.32228,100,7800,9.92020034790039,-121.7537,-156.59206,-166.55017
79,-121.36913,100,7900,10.022982358932495,-121.65194,-155.17221,-165.97826
80,-120.387924,100,8000,10.127685546875,-121.315384,-153.93457,-165.40839
81,-126.250374,100,8100,10.299763917922974,-121.63817,-153.05968,-164.92494
82,-115.310135,100,8200,10.404630661010742,-121.26427,-151.99039,-164.3199
83,-122.162575,100,8300,10.513683080673218,-121.214005,-150.82457,-163.81197
84,-121.98033,100,8400,10.617562532424927,-121.95831,-149.6213,-163.31398
85,-119.424576,100,8500,10.72741150856018,-121.59609,-148.53215,-162.79764
86,-116.33789,100,8600,10.889886856079102,-121.07517,-147.55278,-162.2574
87,-122.07364,100,8700,10.999512195587158,-120.66188,-146.3242,-161.79552
88,-123.65872,100,8800,11.102296113967896,-120.89553,-145.35416,-161.36215
89,-121.96236,100,8900,11.216723442077637,-120.95486,-144.5303,-160.91945
90,-122.794945,100,9000,11.320584297180176,-121.19556,-143.31873,-160.49585
91,-121.27533,100,9100,11.482881784439087,-120.698044,-142.23119,-160.06485
92,-124.35972,100,9200,11.59255337715149,-121.60301,-141.2115,-159.67674
93,-123.00835,100,9300,11.70196270942688,-121.687584,-140.22589,-159.28247
94,-121.9391,100,9400,11.805302381515503,-121.68346,-139.32977,-158.88521
95,-118.07945,100,9500,11.910271644592285,-121.54895,-138.09436,-158.45566
96,-118.40404,100,9600,12.071012258529663,-121.75557,-137.17229,-158.03847
97,-121.23825,100,9700,12.180652379989624,-121.672035,-136.53302,-157.65909
98,-123.44912,100,9800,12.284858226776123,-121.65106,-135.71573,-157.31001
99,-121.35703,100,9900,12.389564990997314,-121.59054,-134.38354,-156.94685
100,-122.62539,100,10000,12.498908758163452,-121.57357,-133.43842,-156.60364
101,-119.12935,100,10100,12.665549516677856,-121.358986,-132.5694,-155.82263
102,-120.87124,100,10200,12.774909257888794,-121.01013,-131.52315,-154.92395
103,-123.53893,100,10300,12.878843069076538,-121.06319,-130.48805,-154.17307
104,-121.11044,100,10400,12.988650798797607,-120.98032,-129.30014,-153.43025
105,-128.69434,100,10500,13.09282112121582,-122.04181,-128.62587,-152.74712
106,-119.57017,100,10600,13.26736569404602,-122.15843,-127.60506,-152.14978
107,-116.683365,100,10700,13.373740673065186,-121.70294,-126.53123,-151.46646
108,-135.44481,100,10800,13.47810173034668,-122.902504,-125.88139,-150.9091
109,-128.0645,100,10900,13.588374614715576,-123.57326,-124.97024,-150.34477
110,-123.2147,100,11000,13.692652225494385,-123.63218,-124.26988,-149.6699
111,-120.233154,100,11100,13.854907512664795,-123.74257,-123.64969,-148.95868
112,-128.37375,100,11200,13.95910120010376,-124.49282,-123.35034,-148.53076
113,-112.000015,100,11300,14.072394132614136,-123.33893,-122.568085,-147.85085
114,-120.91609,100,11400,14.177553415298462,-123.319496,-122.351166,-147.10931
115,-125.323654,100,11500,14.286993980407715,-122.98242,-122.23041,-146.63301
116,-108.54915,100,11600,14.453370809555054,-121.880325,-121.85971,-146.00784
117,-123.42141,100,11700,14.56226110458374,-122.55412,-121.80313,-145.49976
118,-121.60433,100,11800,14.666787385940552,-121.17008,-121.67458,-145.09285
119,-111.758896,100,11900,14.771337747573853,-119.53951,-121.46202,-144.46887
120,-111.81543,100,12000,14.880862474441528,-118.39958,-121.22326,-143.67326
121,-125.445435,100,12100,15.053442001342773,-118.920815,-121.27172,-143.13475
122,-125.03044,100,12200,15.16178297996521,-118.58649,-121.391335,-142.71494
123,-124.33431,100,12300,15.265527248382568,-119.81991,-121.42471,-142.24092
124,-120.00524,100,12400,15.374961376190186,-119.728836,-121.53408,-141.5672
125,-113.69511,100,12500,15.48062515258789,-118.56596,-121.34706,-140.84369
126,-127.33359,100,12600,15.647884845733643,-120.44442,-121.46278,-140.29544
127,-119.57071,100,12700,15.750958919525146,-120.05935,-121.330055,-139.56606
128,-112.04672,100,12800,15.86051630973816,-119.10359,-121.14456,-138.86832
129,-118.71639,100,12900,15.965187311172485,-119.79934,-121.09151,-138.13185
130,-119.357704,100,13000,16.075729608535767,-120.553566,-121.0709,-137.50273
131,-118.72808,100,13100,16.241983890533447,-119.88182,-120.92045,-136.99007
132,-125.34843,100,13200,16.351500988006592,-119.91362,-121.12122,-136.55582
133,-114.34875,100,13300,16.4552218914032,-118.91508,-120.96494,-135.89476
134,-122.91366,100,13400,16.5601589679718,-119.20592,-120.983604,-135.30246
135,-117.462265,100,13500,16.670008659362793,-119.58263,-120.94436,-134.73825
136,-123.689896,100,13600,16.847580671310425,-119.21826,-121.09141,-134.32208
137,-123.99704,100,13700,16.9511137008667,-119.660904,-121.129875,-133.72704
138,-121.2863,100,13800,17.056554555892944,-120.584854,-121.08242,-133.21828
139,-121.66441,100,13900,17.16615867614746,-120.879654,-121.076454,-132.80338
140,-111.47621,100,14000,17.270077228546143,-120.09151,-120.85009,-132.08441
141,-113.94726,100,14100,17.43696665763855,-119.61342,-120.70352,-131.46735
142,-124.10504,100,14200,17.541934728622437,-119.48909,-120.698425,-130.95497
143,-119.34356,100,14300,17.655540466308594,-119.98855,-120.62514,-130.42552
144,-121.09954,100,14400,17.764771223068237,-119.807144,-120.60835,-129.96906
145,-118.21178,100,14500,17.875567197799683,-119.8821,-120.61099,-129.35269
146,-114.836586,100,14600,18.04252815246582,-118.996765,-120.53964,-128.85597
147,-123.82979,100,14700,18.15220618247986,-118.98006,-120.59146,-128.56226
148,-119.14003,100,14800,18.25584077835083,-118.76542,-120.50528,-128.1105
149,-117.20578,100,14900,18.360382795333862,-118.31956,-120.422264,-127.40291
150,-120.04174,100,15000,18.469473361968994,-119.17611,-120.37058,-126.90451
151,-117.214264,100,15100,18.643090963363647,-119.50281,-120.33228,-126.45083
152,-115.60818,100,15200,18.75246500968933,-118.65312,-120.22703,-125.8751
153,-119.466866,100,15300,18.856511116027832,-118.66545,-120.145584,-125.31682
154,-119.89555,100,15400,18.966713666915894,-118.54506,-120.12129,-124.7107
155,-123.05415,100,15500,19.07062292098999,-119.0293,-120.008484,-124.31717
156,-116.76935,100,15600,19.243992567062378,-119.22258,-119.95247,-123.77875
157,-114.762184,100,15700,19.35124683380127,-118.31582,-119.91404,-123.222626
158,-115.36196,100,15800,19.4623806476593,-117.938,-119.51238,-122.69688
159,-114.60048,100,15900,19.566742181777954,-117.67747,-119.2431,-122.10667
160,-117.80855,100,16000,19.676429748535156,-117.45416,-119.13498,-121.70243
161,-112.8259,100,16100,19.853465795516968,-117.01532,-118.98684,-121.31828
162,-124.82922,100,16200,19.963624954223633,-117.93742,-118.91594,-121.13315
163,-117.33596,100,16300,20.069133043289185,-117.72433,-119.02267,-120.79538
164,-119.2959,100,16400,20.1734402179718,-117.66437,-118.99026,-120.670715
