episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-198.49757,100,100,0.5509943962097168,-198.49757,-198.49757,-198.49757
2,-194.3855,100,200,0.7473249435424805,-196.44153,-196.44153,-196.44153
3,-191.41289,100,300,0.9303839206695557,-194.76532,-194.76532,-194.76532
4,-186.99382,100,400,1.121535301208496,-192.82245,-192.82245,-192.82245
5,-208.91171,100,500,1.3302462100982666,-196.04031,-196.04031,-196.04031
6,-170.83774,100,600,1.5971143245697021,-191.83989,-191.83989,-191.83989
7,-199.19153,100,700,1.7819056510925293,-192.89012,-192.89012,-192.89012
8,-195.61496,100,800,1.9774134159088135,-193.23071,-193.23071,-193.23071
9,-191.1759,100,900,2.163010835647583,-193.0024,-193.0024,-193.0024
10,-192.99663,100,1000,2.3556411266326904,-193.00182,-193.00182,-193.00182
11,-200.1505,100,1100,2.6134142875671387,-193.16711,-193.6517,-193.6517
12,-199.22168,100,1200,2.8056442737579346,-193.65073,-194.11586,-194.11586
13,-191.3402,100,1300,2.9921443462371826,-193.64346,-193.90234,-193.90234
14,-184.97746,100,1400,3.1787774562835693,-193.44182,-193.26486,-193.26486
15,-182.32082,100,1500,3.3720152378082275,-190.78273,-192.53525,-192.53525
16,-174.90764,100,1600,3.6347789764404297,-191.18973,-191.43353,-191.43353
17,-188.7223,100,1700,3.831712245941162,-190.14279,-191.27405,-191.27405
18,-183.97797,100,1800,4.015086650848389,-188.9791,-190.86871,-190.86871
19,-176.74199,100,1900,4.202732086181641,-187.53572,-190.1252,-190.1252
20,-184.4868,100,2000,4.396017074584961,-186.68472,-189.84329,-189.84329
21,-189.36354,100,2100,4.65507435798645,-185.60605,-189.82043,-189.82043
22,-171.81808,100,2200,4.841785192489624,-182.86569,-189.00215,-189.00215
23,-183.30598,100,2300,5.028609752655029,-182.06227,-188.7545,-188.7545
24,-175.17834,100,2400,5.21410059928894,-181.08235,-188.18883,-188.18883
25,-174.99202,100,2500,5.404098987579346,-180.34947,-187.66095,-187.66095
26,-170.44032,100,2600,5.668658256530762,-179.90274,-186.99863,-186.99863
27,-165.48665,100,2700,5.856098175048828,-177.57918,-186.20189,-186.20189
28,-174.64908,100,2800,6.045548439025879,-176.64627,-185.78929,-185.78929
29,-165.08014,100,2900,6.2345263957977295,-175.4801,-185.07518,-185.07518
30,-143.3779,100,3000,6.426194190979004,-171.36922,-183.68527,-183.68527
31,-132.31366,100,3100,6.687502861022949,-165.66423,-182.02812,-182.02812
32,-149.70335,100,3200,6.871518135070801,-163.45273,-181.01796,-181.01796
33,-136.78194,100,3300,7.06059193611145,-158.80034,-179.67747,-179.67747
34,-135.41359,100,3400,7.249085903167725,-154.82388,-178.3756,-178.3756
35,-139.9424,100,3500,7.44633412361145,-151.3189,-177.2775,-177.2775
36,-142.1533,100,3600,7.706486940383911,-148.4902,-176.30182,-176.30182
37,-147.15443,100,3700,7.896972417831421,-146.65698,-175.51405,-175.51405
38,-134.5048,100,3800,8.090413808822632,-142.64255,-174.43486,-174.43486
39,-138.85515,100,3900,8.278891801834106,-140.02005,-173.52257,-173.52257
