episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-199.02501,100,100,0.563720703125,-199.02501,-199.02501,-199.02501
2,-197.16356,100,200,0.7695868015289307,-198.09428,-198.09428,-198.09428
3,-199.2931,100,300,0.9588062763214111,-198.4939,-198.4939,-198.4939
4,-185.64996,100,400,1.16977858543396,-195.28291,-195.28291,-195.28291
5,-192.17812,100,500,1.3738672733306885,-194.66196,-194.66196,-194.66196
6,-195.1042,100,600,1.65733003616333,-194.73566,-194.73566,-194.73566
7,-179.72562,100,700,1.855424404144287,-192.59135,-192.59135,-192.59135
8,-199.17245,100,800,2.0543909072875977,-193.414,-193.414,-193.414
9,-183.7341,100,900,2.245452404022217,-192.33846,-192.33846,-192.33846
10,-189.71007,100,1000,2.4317386150360107,-192.07562,-192.07562,-192.07562
11,-185.63109,100,1100,2.6946096420288086,-190.73624,-191.48975,-191.48975
12,-183.63182,100,1200,2.885446786880493,-189.38306,-190.83492,-190.83492
13,-187.21887,100,1300,3.082364559173584,-188.17563,-190.55675,-190.55675
14,-176.83557,100,1400,3.2682220935821533,-187.29419,-189.57666,-189.57666
15,-190.71593,100,1500,3.4554197788238525,-187.14798,-189.6526,-189.6526
16,-178.79124,100,1600,3.719980001449585,-185.5167,-188.97379,-188.97379
17,-181.79897,100,1700,3.914585828781128,-185.72401,-188.55174,-188.55174
18,-192.58296,100,1800,4.106721639633179,-185.06506,-188.7757,-188.7757
19,-189.35167,100,1900,4.302738904953003,-185.62683,-188.80602,-188.80602
20,-186.21707,100,2000,4.493049144744873,-185.27753,-188.67656,-188.67656
21,-176.51357,100,2100,4.750110149383545,-184.36575,-188.09738,-188.09738
22,-181.4793,100,2200,4.941274166107178,-184.15051,-187.79657,-187.79657
23,-197.6862,100,2300,5.140315055847168,-185.19724,-188.22655,-188.22655
24,-174.32544,100,2400,5.329081296920776,-184.94623,-187.64734,-187.64734
25,-187.60599,100,2500,5.523716449737549,-184.63522,-187.64569,-187.64569
26,-199.78174,100,2600,5.782329320907593,-186.73428,-188.11246,-188.11246
27,-192.50891,100,2700,5.969940185546875,-187.80528,-188.27528,-188.27528
28,-182.69221,100,2800,6.160733938217163,-186.81621,-188.0759,-188.0759
29,-175.09872,100,2900,6.358285665512085,-185.39091,-187.6284,-187.6284
30,-176.73827,100,3000,6.54620099067688,-184.44304,-187.2654,-187.2654
31,-176.55574,100,3100,6.800371170043945,-184.44725,-186.91992,-186.91992
