episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-200.89838,100,100,0.48398542404174805,-200.89838,-200.89838,-200.89838
2,-209.55756,100,200,0.6082353591918945,-205.22797,-205.22797,-205.22797
3,-194.62787,100,300,0.7340817451477051,-201.6946,-201.6946,-201.6946
4,-188.56169,100,400,0.8569598197937012,-198.41138,-198.41138,-198.41138
5,-209.7554,100,500,0.9699578285217285,-200.68018,-200.68018,-200.68018
6,-183.061,100,600,1.167665958404541,-197.74365,-197.74365,-197.74365
7,-178.32532,100,700,1.2886104583740234,-194.9696,-194.9696,-194.9696
8,-199.53464,100,800,1.4153225421905518,-195.54024,-195.54024,-195.54024
9,-192.21272,100,900,1.5365822315216064,-195.17052,-195.17052,-195.17052
10,-189.66907,100,1000,1.6548995971679688,-194.62038,-194.62038,-194.62038
11,-199.74677,100,1100,1.8392949104309082,-194.5052,-195.08641,-195.08641
12,-199.30978,100,1200,1.9644348621368408,-193.48042,-195.43835,-195.43835
13,-213.97623,100,1300,2.082744836807251,-195.41525,-196.86435,-196.86435
14,-197.76488,100,1400,2.204272985458374,-196.33559,-196.92868,-196.92868
15,-197.67693,100,1500,2.322674512863159,-195.12772,-196.97856,-196.97856
16,-190.13965,100,1600,2.5141842365264893,-195.83559,-196.55112,-196.55112
17,-187.70386,100,1700,2.629119396209717,-196.77345,-196.03069,-196.03069
18,-214.21841,100,1800,2.746073007583618,-198.24184,-197.04112,-197.04112
19,-179.57906,100,1900,2.864952325820923,-196.97845,-196.12207,-196.12207
20,-221.84572,100,2000,2.9806392192840576,-200.19614,-197.40825,-197.40825
21,-192.07106,100,2100,3.7112295627593994,-199.42856,-197.15411,-197.15411
22,-195.91434,100,2200,3.8253719806671143,-199.08902,-197.09776,-197.09776
23,-198.71457,100,2300,3.9386603832244873,-197.56284,-197.16806,-197.16806
24,-196.01662,100,2400,4.0534491539001465,-197.38803,-197.12007,-197.12007
25,-215.15463,100,2500,4.177409410476685,-199.13579,-197.84146,-197.84146
26,-202.19719,100,2600,4.356431245803833,-200.34155,-198.009,-198.009
27,-190.76236,100,2700,4.470971345901489,-200.64738,-197.7406,-197.7406
28,-175.27559,100,2800,4.593096017837524,-196.75311,-196.93826,-196.93826
29,-198.73833,100,2900,4.7089173793792725,-198.66904,-197.00034,-197.00034
30,-191.44043,100,3000,4.830888032913208,-195.62851,-196.815,-196.815
31,-191.68904,100,3100,5.002067804336548,-195.59032,-196.64964,-196.64964
32,-170.77802,100,3200,5.125434160232544,-193.07669,-195.84116,-195.84116
33,-200.32906,100,3300,5.240153074264526,-193.23813,-195.97716,-195.97716
34,-207.99625,100,3400,5.361099481582642,-194.4361,-196.33066,-196.33066
35,-190.80759,100,3500,5.473998546600342,-192.00137,-196.17285,-196.17285
36,-198.70033,100,3600,5.653318643569946,-191.6517,-196.24306,-196.24306
37,-185.85272,100,3700,5.773172855377197,-191.16072,-195.96223,-195.96223
38,-206.59973,100,3800,5.89108943939209,-194.29315,-196.24216,-196.24216
39,-171.91711,100,3900,6.0031702518463135,-191.61102,-195.61844,-195.61844
40,-203.43982,100,4000,6.124607086181641,-192.81096,-195.814,-195.814
41,-198.45398,100,4100,6.946704626083374,-193.48746,-195.87839,-195.87839
42,-179.10448,100,4200,7.067296028137207,-194.3201,-195.479,-195.479
43,-180.33415,100,4300,7.1877501010894775,-192.32062,-195.1268,-195.1268
44,-190.53835,100,4400,7.3016462326049805,-190.57481,-195.0225,-195.0225
45,-203.6612,100,4500,7.419036626815796,-191.86018,-195.21448,-195.21448
46,-204.34991,100,4600,7.59898042678833,-192.42514,-195.41307,-195.41307
47,-199.35818,100,4700,7.7160046100616455,-193.77568,-195.49701,-195.49701
48,-182.56679,100,4800,7.837242126464844,-191.3724,-195.22765,-195.22765
49,-180.92061,100,4900,7.952422857284546,-192.27274,-194.93567,-194.93567
50,-184.60321,100,5000,8.076751708984375,-190.38908,-194.72902,-194.72902
51,-200.14091,100,5100,8.251354455947876,-190.55779,-194.71387,-194.83513
52,-182.58339,100,5200,8.376033306121826,-190.90567,-194.17436,-194.59952
53,-186.30208,100,5300,8.489012956619263,-191.50247,-194.00786,-194.44295
54,-176.81084,100,5400,8.604413270950317,-190.12971,-193.77283,-194.11642
55,-188.31073,100,5500,8.718433141708374,-188.59468,-193.34395,-194.01086
56,-190.62617,100,5600,8.90164303779602,-187.22229,-193.49525,-193.95044
57,-200.07182,100,5700,9.019371509552002,-187.29367,-193.93019,-194.05785
58,-193.71492,100,5800,9.133372068405151,-188.40846,-193.81378,-194.05193
59,-201.74336,100,5900,9.250608921051025,-190.49075,-194.0044,-194.18228
60,-201.31781,100,6000,9.365477800369263,-192.1622,-194.23737,-194.30121
61,-176.43388,100,6100,9.551089763641357,-189.7915,-193.77112,-194.00829
62,-200.80208,100,6200,10.340402603149414,-191.61337,-193.80096,-194.11786
63,-185.29507,100,6300,10.454819202423096,-191.51266,-193.22733,-193.97781
64,-196.8506,100,6400,10.576838254928589,-193.51663,-193.20905,-194.02272
65,-182.14937,100,6500,10.691664934158325,-192.90051,-192.89851,-193.84006
66,-199.22258,100,6600,10.868508577346802,-193.76015,-193.08017,-193.92162
67,-199.74638,100,6700,10.982982397079468,-193.7276,-193.32101,-194.00854
68,-199.9786,100,6800,11.101888418197632,-194.35397,-193.03621,-194.09633
69,-181.23518,100,6900,11.218288660049438,-192.30318,-193.06935,-193.90994
70,-193.96884,100,7000,11.337270021438599,-191.56827,-192.5118,-193.91078
71,-180.89262,100,7100,11.520235538482666,-192.01413,-192.28824,-193.72743
72,-195.90614,100,7200,11.64429783821106,-191.52454,-192.28807,-193.7577
73,-186.68549,100,7300,11.765944719314575,-191.66357,-192.0475,-193.66083
74,-204.03543,100,7400,11.879274368286133,-192.38205,-192.20786,-193.80103
75,-202.36339,100,7500,11.991084337234497,-194.40346,-191.95203,-193.91518
76,-181.6994,100,7600,12.174232244491577,-192.65115,-191.54207,-193.75444
77,-185.87993,100,7700,12.296014547348022,-191.2645,-191.44443,-193.65218
78,-194.10805,100,7800,12.412379741668701,-190.67744,-191.82109,-193.65804
79,-189.16463,100,7900,12.532230377197266,-191.47038,-191.62961,-193.60115
80,-191.86398,100,8000,12.646122217178345,-191.25992,-191.63809,-193.57944
81,-182.69058,100,8100,12.835470199584961,-191.43971,-191.45813,-193.44499
82,-175.2539,100,8200,13.633052825927734,-189.37448,-191.54764,-193.22316
83,-200.42227,100,8300,13.746503829956055,-190.74815,-191.54947,-193.30989
84,-187.45482,100,8400,13.867594242095947,-189.0901,-191.13867,-193.24019
85,-180.68756,100,8500,13.98501992225647,-186.92252,-190.93626,-193.09251
86,-183.55222,100,8600,14.161500453948975,-187.10779,-190.6333,-192.98158
87,-175.71986,100,8700,14.282389879226685,-186.0918,-190.43062,-192.78319
88,-180.7868,100,8800,14.396651029586792,-184.75967,-189.9144,-192.64684
89,-188.49026,100,8900,14.514753818511963,-184.69223,-190.24586,-192.60014
90,-196.00673,100,9000,14.633114099502563,-185.10649,-190.09721,-192.63797
91,-175.18211,100,9100,14.816264867782593,-184.35567,-189.63174,-192.44615
92,-202.53589,100,9200,14.932966232299805,-187.08385,-190.10037,-192.55582
93,-193.00954,100,9300,15.052788972854614,-186.34258,-190.35391,-192.5607
94,-178.74303,100,9400,15.16886854171753,-185.4714,-190.11798,-192.41368
95,-192.0446,100,9500,15.283122062683105,-186.6071,-189.88567,-192.4098
96,-179.56345,100,9600,15.459319114685059,-186.20822,-189.38994,-192.27605
97,-181.76541,100,9700,15.580581665039062,-186.81277,-189.03807,-192.1677
98,-190.40636,100,9800,15.694976329803467,-187.77475,-189.19484,-192.14972
99,-188.75848,100,9900,15.818102598190308,-187.80156,-189.35162,-192.11545
100,-186.2845,100,10000,15.931000709533691,-186.82933,-189.38524,-192.05714
101,-186.65579,100,10100,16.120456218719482,-187.9767,-189.11554,-191.91469
102,-173.45299,100,10200,16.234007835388184,-185.0684,-188.93292,-191.55367
103,-192.55496,100,10300,17.04307746887207,-185.02296,-189.05798,-191.53293
104,-173.3919,100,10400,17.15824246406555,-184.48784,-188.98961,-191.38126
105,-179.12938,100,10500,17.277515411376953,-183.19632,-188.80595,-191.07497
106,-195.4454,100,10600,17.461458444595337,-184.78452,-188.90234,-191.1988
107,-184.95049,100,10700,17.57904052734375,-185.10303,-188.59995,-191.26508
108,-175.34608,100,10800,17.70098304748535,-183.59698,-188.23256,-191.02318
109,-181.76646,100,10900,17.81976342201233,-182.8978,-187.83301,-190.91872
110,-172.86282,100,11000,17.936119556427002,-181.55563,-187.26393,-190.75067
111,-180.88095,100,11100,18.116051197052002,-180.97813,-187.35287,-190.562
112,-165.7012,100,11200,18.22972297668457,-180.20297,-186.65083,-190.22589
113,-177.3907,100,11300,18.34444522857666,-178.68654,-186.49275,-189.86006
114,-197.94873,100,11400,18.45891809463501,-181.14223,-186.51472,-189.8619
115,-182.41255,100,11500,18.57244610786438,-181.47055,-186.52,-189.70926
116,-163.98453,100,11600,18.75920295715332,-178.32445,-185.81522,-189.44768
117,-181.74371,100,11700,18.873905897140503,-178.00378,-185.4552,-189.38809
118,-169.16283,100,11800,18.995700120925903,-177.38545,-184.83888,-188.93752
119,-188.71545,100,11900,19.110355377197266,-178.08035,-184.98848,-189.02888
120,-204.38667,100,12000,19.229828119277954,-181.23274,-185.19684,-188.8543
121,-178.10057,100,12100,19.411054611206055,-180.95471,-185.14099,-188.71457
122,-169.01062,100,12200,19.532442092895508,-181.28563,-184.60309,-188.44553
123,-168.54272,100,12300,20.34844398498535,-180.40085,-184.24023,-188.14383
124,-170.56526,100,12400,20.465747356414795,-177.6625,-183.57082,-187.88931
125,-182.6912,100,12500,20.577606916427612,-177.69037,-183.17738,-187.56468
126,-163.1173,100,12600,20.763617753982544,-177.60362,-182.80573,-187.17389
127,-174.16331,100,12700,20.881235122680664,-176.8456,-182.57138,-187.0079
128,-172.1938,100,12800,21.004807472229004,-177.1487,-182.1331,-186.9771
129,-198.01659,100,12900,21.117334604263306,-178.07881,-182.31015,-186.96986
130,-176.47511,100,13000,21.239196300506592,-175.28764,-182.00238,-186.82022
131,-184.94374,100,13100,21.420401573181152,-175.97195,-182.04744,-186.75275
132,-190.34972,100,13200,21.542430639266968,-178.10587,-182.34933,-186.94846
133,-174.09425,100,13300,21.657168865203857,-178.66104,-181.82281,-186.68611
134,-177.03798,100,13400,21.77773141860962,-179.30829,-181.61447,-186.37654
135,-181.22806,100,13500,21.89162588119507,-179.16197,-181.62527,-186.28076
136,-187.46971,100,13600,22.07244873046875,-181.59721,-181.70361,-186.16844
137,-173.0726,100,13700,22.19326663017273,-181.48817,-181.65067,-186.04065
138,-167.38406,100,13800,22.306737661361694,-181.00717,-181.3826,-185.6485
139,-180.26822,100,13900,22.42220163345337,-179.23233,-181.21817,-185.732
140,-192.18494,100,14000,22.542247533798218,-180.80331,-181.14172,-185.61948
141,-161.36316,100,14100,22.72921895980835,-178.44527,-180.86536,-185.24858
142,-191.62675,100,14200,22.84477400779724,-178.57297,-180.64719,-185.37376
143,-173.55664,100,14300,22.966423988342285,-178.51921,-180.25812,-185.30602
144,-185.72894,100,14400,23.824812412261963,-179.3883,-180.39781,-185.2579
145,-180.73601,100,14500,23.94916558265686,-179.3391,-180.17166,-185.02866
146,-175.0226,100,14600,24.133644104003906,-178.09439,-180.08084,-184.7354
147,-169.49817,100,14700,24.247100353240967,-177.73695,-179.8355,-184.4368
148,-183.7608,100,14800,24.36413025856018,-179.37463,-179.70259,-184.44875
