episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-336.41016,100,100,0.7387361526489258,-336.41016,-336.41016,-336.41016
2,-340.91037,100,200,0.9728269577026367,-338.66028,-338.66028,-338.66028
3,-336.7331,100,300,1.1710577011108398,-338.01788,-338.01788,-338.01788
4,-332.10852,100,400,1.3582890033721924,-336.54053,-336.54053,-336.54053
5,-336.25873,100,500,1.5500497817993164,-336.4842,-336.4842,-336.4842
6,-182.71419,100,600,1.8219349384307861,-310.85587,-310.85587,-310.85587
7,-151.85641,100,700,2.0089547634124756,-288.14166,-288.14166,-288.14166
8,-163.40474,100,800,2.2068257331848145,-272.54953,-272.54953,-272.54953
9,-159.53746,100,900,2.387200355529785,-259.9926,-259.9926,-259.9926
10,-216.73615,100,1000,2.586775541305542,-255.66696,-255.66696,-255.66696
11,-143.46387,100,1100,2.9111123085021973,-236.37236,-245.46669,-245.46669
12,-194.82094,100,1200,3.0927271842956543,-221.7634,-241.24622,-241.24622
13,-153.26724,100,1300,3.271024227142334,-203.41682,-234.4786,-234.4786
14,-176.90417,100,1400,3.453890085220337,-187.8964,-230.36613,-230.36613
15,-252.16138,100,1500,3.628338098526001,-179.48666,-231.81915,-231.81915
16,-268.39026,100,1600,3.8855321407318115,-188.05426,-234.10484,-234.10484
17,-291.1967,100,1700,4.0565221309661865,-201.98828,-237.4632,-237.4632
18,-182.94028,100,1800,4.238246202468872,-203.94185,-234.43414,-234.43414
19,-201.07332,100,1900,4.4066901206970215,-208.09543,-232.6783,-232.6783
20,-189.76933,100,2000,4.578109502792358,-205.39876,-230.53287,-230.53287
21,-155.65425,100,2100,4.835197448730469,-206.61777,-226.96721,-226.96721
22,-169.82475,100,2200,5.029675006866455,-204.11816,-224.36983,-224.36983
23,-154.16498,100,2300,5.217425584793091,-204.20793,-221.31744,-221.31744
24,-332.15488,100,2400,5.40131402015686,-219.733,-225.93567,-225.93567
25,-309.9022,100,2500,5.584699392318726,-225.50711,-229.29434,-229.29434
26,-302.55435,100,2600,5.854668378829956,-228.92351,-232.11203,-232.11203
27,-203.92845,100,2700,6.034682989120483,-220.19669,-231.06818,-231.06818
28,-196.86646,100,2800,6.219641208648682,-221.58931,-229.84668,-229.84668
29,-313.58496,100,2900,6.396056175231934,-232.84045,-232.7342,-232.7342
30,-291.88162,100,3000,6.585931301116943,-243.05168,-234.7058,-234.7058
31,-209.81323,100,3100,6.837716579437256,-248.46758,-233.90282,-233.90282
32,-248.19615,100,3200,7.0235981941223145,-256.30472,-234.34949,-234.34949
33,-214.01952,100,3300,7.213659763336182,-262.29016,-233.73343,-233.73343
34,-203.1163,100,3400,7.400520324707031,-249.38632,-232.83292,-232.83292
35,26.100008,100,3500,7.598947525024414,-215.78609,-225.43483,-225.43483
36,79.404915,100,3600,7.858619689941406,-177.59018,-216.96707,-216.96707
37,-261.48697,100,3700,8.045350790023804,-183.34602,-218.1703,-218.1703
38,-249.651,100,3800,8.235769987106323,-188.62448,-218.99873,-218.99873
39,-192.16013,100,3900,8.432827711105347,-176.48201,-218.31058,-218.31058
40,-173.20033,100,4000,8.622390270233154,-164.61388,-217.18282,-217.18282
41,-182.78604,100,4100,8.887717723846436,-161.91115,-216.34387,-216.34387
42,-191.69176,100,4200,9.073389768600464,-156.26071,-215.75691,-215.75691
43,-191.37428,100,4300,9.25202989578247,-153.99619,-215.18987,-215.18987
44,-176.5915,100,4400,9.446465730667114,-151.34372,-214.31264,-214.31264
45,-323.11508,100,4500,9.633031606674194,-186.26523,-216.73047,-216.73047
46,-325.53284,100,4600,9.883270025253296,-226.75899,-219.09575,-219.09575
47,-323.62637,100,4700,10.061165571212769,-232.97293,-221.3198,-221.3198
48,-322.91354,100,4800,10.245328426361084,-240.2992,-223.43636,-223.43636
49,-227.9217,100,4900,10.427311897277832,-243.87534,-223.52791,-223.52791
50,-229.12164,100,5000,10.6127347946167,-249.46748,-223.63979,-223.63979
51,-257.14172,100,5100,10.870426654815674,-256.903,-222.0544,-224.29668
52,-296.17825,100,5200,11.057154893875122,-267.3517,-221.15974,-225.67903
53,-201.06386,100,5300,11.248773097991943,-268.32065,-218.44637,-225.21458
54,-166.63496,100,5400,11.437989711761475,-267.325,-215.13687,-224.12978
55,-178.77107,100,5500,11.649231195449829,-252.8906,-211.98715,-223.30508
56,-230.30823,100,5600,11.91306185722351,-243.36812,-212.93903,-223.4301
57,-162.44302,100,5700,12.116407871246338,-227.24983,-213.15074,-222.36017
58,-189.82118,100,5800,12.314871072769165,-213.94055,-213.67908,-221.79915
59,-220.20212,100,5900,12.511239767074585,-213.16861,-214.89238,-221.77208
60,-216.09538,100,6000,12.690782070159912,-211.866,-214.87955,-221.67747
61,-228.47757,100,6100,12.951269149780273,-208.99956,-216.57982,-221.78896
62,-203.20595,100,6200,13.139513731002808,-199.70233,-216.74754,-221.48923
63,-258.18677,100,6300,13.34389042854309,-205.41463,-218.8459,-222.07172
64,-262.55487,100,6400,13.53185510635376,-215.00662,-220.55893,-222.70425
65,-268.87552,100,6500,13.721694231033325,-224.01706,-220.89322,-223.41458
66,-267.5653,100,6600,13.982080459594727,-227.74277,-220.87672,-224.08354
67,-261.56168,100,6700,14.174762487411499,-237.65466,-220.284,-224.64291
68,-266.50592,100,6800,14.368233919143677,-245.32309,-221.95534,-225.25854
69,-267.53546,100,6900,14.552359342575073,-250.05643,-223.28458,-225.87125
70,-279.3359,100,7000,14.745866775512695,-256.3805,-225.0759,-226.63503
71,-272.90512,100,7100,15.01523208618164,-260.82324,-227.42091,-227.28673
72,-261.85617,100,7200,15.20426869392395,-266.68826,-229.26157,-227.76685
73,-265.21854,100,7300,15.39724087715149,-267.39145,-231.48264,-228.27989
74,-184.0469,100,7400,15.589030504226685,-259.54065,-228.52046,-227.68214
75,-284.16202,100,7500,15.78365445137024,-261.06927,-228.00566,-228.43521
76,-261.04205,100,7600,16.050594329833984,-260.417,-227.17542,-228.86426
77,-302.2113,100,7700,16.24191641807556,-264.48193,-229.14105,-229.81682
78,-291.17056,100,7800,16.433013200759888,-266.94843,-231.02716,-230.6034
79,-294.87286,100,7900,16.62932300567627,-269.68213,-230.65291,-231.41693
80,-297.7182,100,8000,16.816421270370483,-271.5204,-230.76962,-232.2457
81,-295.84134,100,8100,17.082945585250854,-273.81403,-232.49017,-233.03084
82,-177.42612,100,8200,17.27980065345764,-265.37097,-231.0748,-232.35272
83,-172.77377,100,8300,17.467086791992188,-256.12653,-230.24986,-231.6349
84,-218.54016,100,8400,17.66945791244507,-259.57584,-230.55833,-231.47903
85,-242.99414,100,8500,17.867181301116943,-255.45908,-235.94023,-231.6145
86,-17.385658,100,8600,18.120835065841675,-231.09341,-237.87605,-229.12346
87,-23.765835,100,8700,18.30799174308777,-203.24887,-233.12163,-226.76302
88,50.080338,100,8800,18.499125480651855,-169.12378,-227.127,-223.61708
89,139.45209,100,8900,18.684560775756836,-125.691284,-220.49477,-219.53766
90,123.67838,100,9000,18.88073992729187,-83.55162,-214.55719,-215.72415
91,147.16359,100,9100,19.14454746246338,-39.25113,-207.95819,-211.73637
92,-139.87881,100,9200,19.359299421310425,-35.4964,-206.92194,-210.9553
93,-151.15532,100,9300,19.566486597061157,-33.334553,-206.11755,-210.31232
94,-181.15216,100,9400,19.76487922668457,-29.595755,-206.20877,-210.0021
95,-176.8112,100,9500,19.962456464767456,-22.977457,-203.28271,-209.65271
96,277.0008,100,9600,20.22806739807129,6.4611864,-191.23203,-204.58337
97,330.08182,100,9700,20.431353330612183,41.84595,-178.15784,-199.07137
98,-350.03897,100,9800,20.62484335899353,1.834018,-178.70035,-200.61185
