episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-188.62498,100,100,0.46347641944885254,-188.62498,-188.62498,-188.62498
2,-174.57257,100,200,0.5355405807495117,-181.59879,-181.59879,-181.59879
3,-184.8517,100,300,0.6138753890991211,-182.68309,-182.68309,-182.68309
4,-183.8815,100,400,0.690920352935791,-182.9827,-182.9827,-182.9827
5,-194.64949,100,500,0.7723278999328613,-185.31606,-185.31606,-185.31606
6,-199.49863,100,600,0.9267911911010742,-187.67981,-187.67981,-187.67981
7,-193.57552,100,700,0.9946222305297852,-188.52206,-188.52206,-188.52206
8,-199.7667,100,800,1.0674352645874023,-189.92764,-189.92764,-189.92764
9,-206.78532,100,900,1.137385368347168,-191.80072,-191.80072,-191.80072
10,-191.00044,100,1000,1.2206697463989258,-191.72069,-191.72069,-191.72069
11,-186.79573,100,1100,1.3658361434936523,-191.53777,-191.27296,-191.27296
12,-191.93016,100,1200,1.441014051437378,-193.27353,-191.32774,-191.32774
13,-194.10246,100,1300,1.5161378383636475,-194.1986,-191.54118,-191.54118
14,-190.75592,100,1400,1.5949056148529053,-194.88603,-191.48509,-191.48509
15,-187.9533,100,1500,1.6679179668426514,-194.21642,-191.24965,-191.24965
16,-184.13254,100,1600,1.8057944774627686,-192.67981,-190.80481,-190.80481
17,-182.94682,100,1700,1.8876726627349854,-191.61693,-190.34258,-190.34258
18,-193.77351,100,1800,1.9650983810424805,-191.01761,-190.53317,-190.53317
19,-202.41801,100,1900,2.0345354080200195,-190.5809,-191.15869,-191.15869
20,-187.50923,100,2000,2.1072893142700195,-190.23177,-190.97623,-190.97623
21,-172.95807,100,2100,2.9934451580047607,-188.84799,-190.11821,-190.11821
22,-191.06647,100,2200,3.0703318119049072,-188.76163,-190.16132,-190.16132
23,-195.14261,100,2300,3.143181324005127,-188.86565,-190.37788,-190.37788
24,-193.95006,100,2400,3.214251756668091,-189.18506,-190.52673,-190.52673
25,-191.366,100,2500,3.290778875350952,-189.52634,-190.56032,-190.56032
26,-190.35588,100,2600,3.4223177433013916,-190.14865,-190.55246,-190.55246
27,-201.11243,100,2700,3.4907095432281494,-191.96523,-190.94356,-190.94356
28,-189.79225,100,2800,3.5684611797332764,-191.56711,-190.90245,-190.90245
29,-202.68289,100,2900,3.641956090927124,-191.59358,-191.30869,-191.30869
30,-185.45547,100,3000,3.7108049392700195,-191.3882,-191.11357,-191.11357
31,-203.68996,100,3100,3.854351758956909,-194.4614,-191.51926,-191.51926
32,-180.815,100,3200,3.9254918098449707,-193.43625,-191.18474,-191.18474
33,-183.26111,100,3300,3.9934241771698,-192.24811,-190.94463,-190.94463
34,-187.63805,100,3400,4.07262921333313,-191.6169,-190.84738,-190.84738
35,-184.04953,100,3500,4.1471266746521,-190.88527,-190.65315,-190.65315
36,-181.51765,100,3600,4.278817653656006,-190.00143,-190.39938,-190.39938
37,-187.86185,100,3700,4.3583083152771,-188.67638,-190.33081,-190.33081
38,-171.96956,100,3800,4.434970855712891,-186.8941,-189.84761,-189.84761
39,-189.2335,100,3900,4.509449005126953,-185.54916,-189.83186,-189.83186
40,-199.41585,100,4000,4.579333066940308,-186.94522,-190.07146,-190.07146
41,-179.00587,100,4100,5.446238040924072,-184.47679,-189.80157,-189.80157
42,-188.17949,100,4200,5.518125772476196,-185.21324,-189.76295,-189.76295
43,-186.40906,100,4300,5.588890552520752,-185.52805,-189.68495,-189.68495
