episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-132.98622,100,100,0.4540278911590576,-132.98622,-132.98622,-132.98622
2,-152.64882,100,200,0.5275576114654541,-142.81752,-142.81752,-142.81752
3,-137.75612,100,300,0.5979881286621094,-141.13039,-141.13039,-141.13039
4,-128.15096,100,400,0.6733236312866211,-137.88553,-137.88553,-137.88553
5,-140.29492,100,500,0.7451417446136475,-138.3674,-138.3674,-138.3674
6,-140.60599,100,600,0.9072153568267822,-138.7405,-138.7405,-138.7405
7,-142.95053,100,700,0.987539529800415,-139.34193,-139.34193,-139.34193
8,-140.46399,100,800,1.0590405464172363,-139.4822,-139.4822,-139.4822
9,-144.11479,100,900,1.1288883686065674,-139.99692,-139.99692,-139.99692
10,-145.426,100,1000,1.2053451538085938,-140.53983,-140.53983,-140.53983
11,-131.30515,100,1100,1.3395590782165527,-140.37173,-139.70032,-139.70032
12,-138.09367,100,1200,1.4081621170043945,-138.91621,-139.56642,-139.56642
13,-136.1422,100,1300,1.4848589897155762,-138.7548,-139.30302,-139.30302
14,-148.6668,100,1400,1.5560948848724365,-140.8064,-139.97186,-139.97186
15,-151.05145,100,1500,1.6268830299377441,-141.88205,-140.7105,-140.7105
16,-142.7352,100,1600,1.7749722003936768,-142.09499,-140.83705,-140.83705
17,-132.32585,100,1700,1.8487098217010498,-141.0325,-140.3364,-140.3364
18,-136.70021,100,1800,1.918438196182251,-140.65611,-140.13438,-140.13438
19,-142.65944,100,1900,1.9888780117034912,-140.51059,-140.26729,-140.26729
20,-138.23276,100,2000,2.061488151550293,-139.79128,-140.16556,-140.16556
21,-135.46828,100,2100,2.438056468963623,-140.20758,-139.94186,-139.94186
22,-127.44386,100,2200,2.512610912322998,-139.14261,-139.37378,-139.37378
23,-133.91476,100,2300,2.5892462730407715,-138.91986,-139.13643,-139.13643
24,-127.48333,100,2400,2.663865089416504,-136.80151,-138.65088,-138.65088
25,-129.18922,100,2500,2.7327511310577393,-134.61528,-138.27242,-138.27242
26,-125.78522,100,2600,2.8778252601623535,-132.92029,-137.79213,-137.79213
27,-132.99911,100,2700,2.9512863159179688,-132.98761,-137.61461,-137.61461
28,-127.04998,100,2800,3.0211334228515625,-132.0226,-137.2373,-137.2373
29,-143.90576,100,2900,3.089155435562134,-132.14723,-137.46725,-137.46725
30,-126.85415,100,3000,3.1681413650512695,-131.00937,-137.11348,-137.11348
31,-122.55252,100,3100,3.3126721382141113,-129.71779,-136.64377,-136.64377
32,-126.34144,100,3200,3.3999438285827637,-129.60756,-136.32182,-136.32182
33,-129.3239,100,3300,3.4719619750976562,-129.14847,-136.10976,-136.10976
34,-127.55949,100,3400,3.5470850467681885,-129.15608,-135.85828,-135.85828
35,-139.87639,100,3500,3.6198716163635254,-130.2248,-135.97308,-135.97308
36,-126.53026,100,3600,3.7662851810455322,-130.2993,-135.71078,-135.71078
37,-134.65791,100,3700,3.8368914127349854,-130.46518,-135.68233,-135.68233
38,-134.18845,100,3800,3.907017469406128,-131.17903,-135.64302,-135.64302
39,-140.4938,100,3900,3.9797611236572266,-130.83783,-135.7674,-135.7674
40,-127.6801,100,4000,4.052129507064819,-130.92043,-135.56523,-135.56523
41,-128.46994,100,4100,4.4586944580078125,-131.51218,-135.39217,-135.39217
42,-134.45157,100,4200,4.532178640365601,-132.32318,-135.36978,-135.36978
43,-131.07092,100,4300,4.600001811981201,-132.49788,-135.2698,-135.2698
44,-117.314926,100,4400,4.67173171043396,-131.47342,-134.86174,-134.86174
45,-124.53527,100,4500,4.74740195274353,-129.93932,-134.63226,-134.63226
46,-123.0223,100,4600,4.890100479125977,-129.58853,-134.37987,-134.37987
