episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-601.54,300,300,0.9028887748718262,-601.54,-601.54,-601.54,2.005133641540507,2.2257356027486703
2,-537.39355,300,600,1.4704151153564453,-569.4668,-569.4668,-569.4668,1.791312492476814,1.5628946572848657
3,-593.08374,300,900,1.9880938529968262,-577.3391,-577.3391,-577.3391,1.976946345498041,2.0055643721144087
4,-610.89014,300,1200,2.4624581336975098,-585.72687,-585.72687,-585.72687,2.036300086424854,1.7399112022669252
5,-682.5994,300,1500,2.947880268096924,-605.1014,-605.1014,-605.1014,2.2753317470406262,2.5270616699452706
6,-513.15326,300,1800,3.5009114742279053,-589.7767,-589.7767,-589.7767,1.7105102899949467,1.3330871977445882
7,-609.11053,300,2100,4.368218183517456,-592.53864,-592.53864,-592.53864,2.0303672557939296,0.8915814446257656
8,-639.50555,300,2400,4.8456871509552,-598.40955,-598.40955,-598.40955,2.1316846348292278,2.03957577861271
9,-618.2976,300,2700,5.365520238876343,-600.6194,-600.6194,-600.6194,2.060991954726421,1.5812495575188315
10,-344.52948,300,3000,5.878862142562866,-575.0104,-575.0104,-575.0104,1.148431879825767,1.9039384618698272
11,-875.1442,300,3300,6.5014050006866455,-602.3707,-602.2952,-602.2952,2.9171474930501327,2.761207450791747
12,-580.4877,300,3600,7.070953369140625,-606.6802,-600.47797,-600.47797,1.9349589439986736,1.5977927183406575
13,-531.16986,300,3900,7.654980659484863,-600.48883,-595.14655,-595.14655,1.7705659242661613,1.3535007696578105
14,-560.4029,300,4200,8.89931607246399,-595.44006,-592.6649,-592.6649,1.8680095343523733,2.171655430558834
15,-590.47656,300,4500,9.366762399673462,-586.2277,-592.519,-592.519,1.9682554592362385,2.0367460545148517
16,-561.155,300,4800,9.905098676681519,-591.02795,-590.5587,-590.5587,1.8705169837962952,2.814006442701174
17,-705.5488,300,5100,10.37240982055664,-600.67175,-597.3228,-597.3228,2.351828841506132,2.075590775178513
18,-417.7021,300,5400,10.844529867172241,-578.4914,-587.34393,-587.34393,1.392340403531849,1.1967770237840634
19,-738.37366,300,5700,11.351210594177246,-590.49896,-595.29285,-595.29285,2.494579024081338,2.530670082570348
20,-526.849,300,6000,11.852104663848877,-608.73096,-591.87067,-591.87067,1.7561638169547866,1.597080749579142
21,-526.78516,300,6300,13.176329851150513,-573.8951,-588.77136,-588.77136,1.7559502734531103,1.4463750846219152
22,-732.9966,300,6600,13.716546058654785,-589.14594,-595.3271,-595.3271,2.4433214092233833,2.640687618726326
23,-534.4828,300,6900,14.214377164840698,-589.47723,-592.68164,-592.68164,1.781608637899897,1.4265572078204696
24,-340.00525,300,7200,14.717690467834473,-567.4375,-582.15344,-582.15344,1.1333503550983064,1.9083204837207695
25,-823.4743,300,7500,15.197881698608398,-590.73724,-591.8063,-591.8063,2.7449132632369584,2.77500748909904
26,-574.4704,300,7800,15.75475025177002,-592.0687,-591.1395,-591.1395,1.9149007689116229,1.8311410659159473
27,-536.95044,300,8100,16.235130310058594,-575.209,-589.1325,-589.1325,1.7898342568748353,2.2368386681350634
