volume_1,volume_2,volume_3
1.483170183,1.582866178,1.408728847
1.541835517,1.485550124,1.392523286
1.617901855,1.445115242,1.490813055
1.651900932,1.487783307,1.629080355
1.618200061,1.585235445,1.707185902
1.547206177,1.670306222,1.674563211
1.488136203,1.678803266,1.553649409
1.477761719,1.60353132,1.426136386
1.501467521,1.680138634,1.339553335
1.547714119,1.577270417,1.290097456
1.618895767,1.489961692,1.305640306
1.702207487,1.432568809,1.383965691
1.780162178,1.414128589,1.508783316
1.834122534,1.437048336,1.653169529
1.850618732,1.497159818,1.787210956
1.827089897,1.58499038,1.886214522
1.77236549,1.686639691,1.935159296
1.70154207,1.784410938,1.928786839
1.629060176,1.858709879,1.869484884
1.564932032,1.892350009,1.76581167
1.516100026,1.87648643,1.633081567
1.489438401,1.814665567,1.493917434
1.491625901,1.721616086,1.375366352
1.581045166,1.827624337,1.316679003
1.622014011,1.725285266,1.255438761
1.683274292,1.631066807,1.237373828
1.760519737,1.551431435,1.264996872
1.847710664,1.49175289,1.336525833
1.937057886,1.456182626,1.445522365
2.019062925,1.446995197,1.580977922
2.083550613,1.46416447,1.728599261
2.121876309,1.50571947,1.87326751
2.129272887,1.568516529,2.001633216
2.106038669,1.648665552,2.103741951
2.057160216,1.741398289,2.173447201
1.990791576,1.840751737,2.208033118
1.916110568,1.939395561,2.207413954
1.841083478,2.02873321,2.17312271
1.770951737,2.099493645,2.107500465
1.708179905,2.143042484,2.013617086
1.653807291,2.153231294,1.89603971
1.609243082,2.128089733,1.761890373
1.577327465,2.070557895,1.621320409
1.562051734,1.98785289,1.486837098
1.567201354,1.889696794,1.371592972
1.720750911,2.025067427,1.340487559
1.759488873,1.924520874,1.273183533
1.815293353,1.830126321,1.238128309
1.885993788,1.745090507,1.237637582
1.96877596,1.672164444,1.272416774
2.060303643,1.613977842,1.341448082
2.156446618,1.572938555,1.441624888
2.251876048,1.550752424,1.567399957
2.340005139,1.547932306,1.710867119
2.413627947,1.563704796,1.862528396
2.466172,1.596422868,2.012590108
2.493042895,1.644190338,2.152286998
2.492468155,1.705260626,2.274737513
2.465601879,1.778009346,2.375175737
2.416083353,1.860635794,2.450770983
2.349364104,1.950872136,2.500330262
2.271928437,2.045821986,2.523994468
2.190367386,2.141866826,2.522857406
2.110355125,2.2345835,2.498459933
2.035795857,2.318756715,2.452280383
1.968483763,2.38865086,2.385457557
1.908441724,2.438624037,2.298923315
1.854801883,2.463988914,2.193927923
1.806864419,2.461883313,2.07274447
1.76493383,2.431889034,1.939252112
1.730661165,2.376216129,1.799148197
1.706818473,2.299389631,1.659677673
1.69661864,2.20749748,1.52893092
1.70283696,2.107180248,1.414905608
1.92022829,2.272930528,1.41215341
1.958622279,2.174998225,1.341422385
2.012098385,2.082800449,1.29660189
2.079184281,1.997972773,1.279378419
2.158070861,1.921767361,1.290685199
2.246872911,1.855467306,1.33081526
2.343622872,1.800597721,1.399311435
2.445977904,1.75881658,1.494633813
2.55078268,1.731528182,1.613755589
2.653747934,1.719419074,1.751931783
2.749502862,1.722179077,1.902854734
2.832133126,1.738586126,2.059252696
2.896081154,1.766934034,2.213777281
2.937089043,1.805582949,2.359879928
2.95283657,1.853346996,2.492389029
2.943097387,1.909550586,2.607665511
2.909491103,1.973796612,2.703428255
2.855068577,2.045640136,2.778463717
2.783934271,2.124353758,2.832400479
2.700943144,2.208841177,2.865590779
