volume_1,volume_2,volume_3
-1.979107891,-2.204603863,-1.63015418
-1.852850869,-2.174643042,-1.564098052
-1.738232283,-2.168506169,-1.474727079
-1.725219107,-2.19927425,-1.444628375
-1.826668085,-2.257504391,-1.516523239
-1.964170136,-2.289419388,-1.614710526
-2.034071562,-2.262737955,-1.65435118
-1.997673754,-2.213165268,-1.638187489
-2.046970282,-2.145038906,-1.643061642
-1.940471218,-2.121291864,-1.609222713
-1.809553657,-2.105001094,-1.546131157
-1.678104965,-2.091557826,-1.451178837
-1.578494523,-2.086282827,-1.349519766
-1.535929336,-2.100386814,-1.280852426
-1.556729444,-2.138477615,-1.271848048
-1.634796295,-2.196885578,-1.328687329
-1.75849687,-2.264712215,-1.437127949
-1.903427483,-2.319473444,-1.558468411
-2.034014041,-2.338094413,-1.648828319
-2.121094605,-2.314716402,-1.689243842
-2.154160432,-2.262889539,-1.689933637
-2.137762052,-2.204879959,-1.672810889
-2.080238861,-2.158599086,-1.652293086
-2.084699391,-2.053196394,-1.614332208
-1.995076752,-2.038101127,-1.603417994
-1.883368588,-2.03015271,-1.57618519
-1.753956458,-2.021753074,-1.518761677
-1.620165079,-2.009783998,-1.427715705
-1.500461017,-1.996830377,-1.315248815
-1.41384901,-1.992052306,-1.207124385
-1.37164818,-2.004100635,-1.1277217
-1.371428866,-2.032315691,-1.087018733
-1.405603328,-2.072711892,-1.087286219
-1.469767131,-2.124118819,-1.130535934
-1.563661872,-2.187037992,-1.217449963
-1.686986154,-2.258520998,-1.341020383
-1.830437993,-2.325765205,-1.478640007
-1.974139643,-2.370431888,-1.598566311
-2.096886849,-2.380675083,-1.678245834
-2.184460052,-2.355574017,-1.712491467
-2.2324723,-2.303114241,-1.71014387
-2.244344243,-2.23614941,-1.686740009
-2.227013877,-2.168152533,-1.657660045
-2.18713659,-2.110217384,-1.63386711
-2.128613935,-2.069133273,-1.619615631
-2.088596944,-1.928356673,-1.546547821
-2.012999383,-1.920022854,-1.552176947
-1.920976843,-1.921005974,-1.551644237
-1.809736823,-1.92331637,-1.531008647
-1.682700887,-1.921358298,-1.479426102
-1.549796704,-1.91334062,-1.393918199
-1.42396604,-1.900748586,-1.282033702
-1.320371367,-1.890972565,-1.163205165
-1.252973471,-1.895082255,-1.060918185
-1.22304431,-1.914620756,-0.985425627
-1.221467463,-1.942643362,-0.935012224
-1.241719906,-1.975815527,-0.909703208
-1.281510454,-2.014733071,-0.91239984
-1.338992492,-2.060183425,-0.945376806
-1.412629725,-2.112728468,-1.00991488
-1.504080066,-2.17363022,-1.10689255
-1.618092567,-2.243736236,-1.234747155
-1.754123274,-2.317151474,-1.38165444
-1.899954799,-2.378911109,-1.52294546
-2.038040144,-2.414761176,-1.634509518
-2.153665398,-2.418278451,-1.704077101
-2.238241853,-2.390277215,-1.731337279
