# time x y z qx qy qz qw
1.413394882790760517e+09 -1.053196999999999939e+00 4.280610000000000248e-01 1.332837000000000049e+00 2.655799999999999828e-02 -7.953879999999999839e-01 3.395000000000000101e-02 6.045660000000000478e-01
1.413394882795760393e+09 -1.053288999999999920e+00 4.280100000000000016e-01 1.332835999999999910e+00 2.664000000000000049e-02 -7.953820000000000334e-01 3.402999999999999775e-02 6.045660000000000478e-01
1.413394882800760508e+09 -1.053379000000000065e+00 4.279700000000000171e-01 1.332834000000000074e+00 2.667699999999999932e-02 -7.953770000000000007e-01 3.407199999999999812e-02 6.045690000000000230e-01
1.413394882805760145e+09 -1.053468999999999989e+00 4.279439999999999911e-01 1.332831000000000099e+00 2.664700000000000055e-02 -7.953789999999999472e-01 3.405799999999999800e-02 6.045669999999999655e-01
1.413394882810760498e+09 -1.053557000000000077e+00 4.279290000000000038e-01 1.332829000000000041e+00 2.657800000000000093e-02 -7.953839999999999799e-01 3.399200000000000138e-02 6.045679999999999943e-01
1.413394882815760612e+09 -1.053641000000000050e+00 4.279189999999999938e-01 1.332832000000000017e+00 2.649200000000000166e-02 -7.953810000000000047e-01 3.390900000000000164e-02 6.045810000000000350e-01
1.413394882820760489e+09 -1.053719999999999990e+00 4.279049999999999798e-01 1.332837999999999967e+00 2.642299999999999857e-02 -7.953710000000000502e-01 3.383800000000000002e-02 6.046010000000000550e-01
1.413394882825760603e+09 -1.053795999999999955e+00 4.278799999999999826e-01 1.332843999999999918e+00 2.639599999999999932e-02 -7.953599999999999559e-01 3.381900000000000184e-02 6.046169999999999600e-01
1.413394882830760479e+09 -1.053871000000000002e+00 4.278410000000000268e-01 1.332845000000000057e+00 2.641699999999999951e-02 -7.953599999999999559e-01 3.387199999999999933e-02 6.046139999999999848e-01
1.413394882835760593e+09 -1.053946000000000049e+00 4.277909999999999768e-01 1.332843999999999918e+00 2.647700000000000053e-02 -7.953590000000000382e-01 3.397599999999999926e-02 6.046059999999999768e-01
1.413394882840760469e+09 -1.054022000000000014e+00 4.277389999999999803e-01 1.332845999999999975e+00 2.649100000000000066e-02 -7.953909999999999592e-01 3.406000000000000000e-02 6.045580000000000398e-01
1.413394882845760584e+09 -1.054098999999999897e+00 4.277050000000000018e-01 1.332843999999999918e+00 2.652600000000000097e-02 -7.954020000000000534e-01 3.412500000000000255e-02 6.045390000000000486e-01
1.413394882850760460e+09 -1.054176000000000002e+00 4.276860000000000106e-01 1.332842000000000082e+00 2.651699999999999890e-02 -7.954149999999999832e-01 3.412899999999999961e-02 6.045220000000000038e-01
1.413394882855760574e+09 -1.054248999999999992e+00 4.276820000000000066e-01 1.332840999999999942e+00 2.646899999999999947e-02 -7.954240000000000199e-01 3.408300000000000218e-02 6.045160000000000533e-01
1.413394882860760689e+09 -1.054318000000000088e+00 4.276840000000000086e-01 1.332840999999999942e+00 2.640199999999999839e-02 -7.954240000000000199e-01 3.401300000000000157e-02 6.045220000000000038e-01
1.413394882865760565e+09 -1.054383000000000070e+00 4.276840000000000086e-01 1.332843000000000000e+00 2.635099999999999942e-02 -7.954139999999999544e-01 3.394300000000000095e-02 6.045420000000000238e-01
1.413394882870760441e+09 -1.054445999999999994e+00 4.276739999999999986e-01 1.332843000000000000e+00 2.633399999999999977e-02 -7.954050000000000287e-01 3.391899999999999776e-02 6.045549999999999535e-01
1.413394882875760555e+09 -1.054505999999999943e+00 4.276519999999999766e-01 1.332840000000000025e+00 2.635699999999999849e-02 -7.954090000000000327e-01 3.394599999999999701e-02 6.045479999999999743e-01
1.413394882880760431e+09 -1.054564000000000057e+00 4.276240000000000041e-01 1.332834999999999992e+00 2.640699999999999992e-02 -7.954200000000000159e-01 3.400799999999999657e-02 6.045270000000000366e-01
1.413394882885760546e+09 -1.054618999999999973e+00 4.275970000000000049e-01 1.332832000000000017e+00 2.645499999999999935e-02 -7.954290000000000527e-01 3.407199999999999812e-02 6.045099999999999918e-01
1.413394882890760422e+09 -1.054664999999999964e+00 4.275149999999999784e-01 1.332824000000000009e+00 2.645700000000000135e-02 -7.954090000000000327e-01 3.403500000000000275e-02 6.045380000000000198e-01
1.413394882895760536e+09 -1.054718000000000044e+00 4.275059999999999971e-01 1.332826000000000066e+00 2.646499999999999894e-02 -7.954069999999999752e-01 3.402999999999999775e-02 6.045399999999999663e-01
1.413394882900760412e+09 -1.054767000000000010e+00 4.275079999999999991e-01 1.332829000000000041e+00 2.644000000000000170e-02 -7.954010000000000247e-01 3.398799999999999738e-02 6.045519999999999783e-01
1.413394882905760527e+09 -1.054810999999999943e+00 4.275140000000000051e-01 1.332834000000000074e+00 2.638800000000000173e-02 -7.953930000000000167e-01 3.392900000000000083e-02 6.045669999999999655e-01
1.413394882910760403e+09 -1.054851999999999901e+00 4.275180000000000091e-01 1.332837999999999967e+00 2.633399999999999977e-02 -7.953839999999999799e-01 3.387899999999999939e-02 6.045850000000000390e-01
1.413394882915760756e+09 -1.054891000000000023e+00 4.275109999999999744e-01 1.332837000000000049e+00 2.631100000000000105e-02 -7.953919999999999879e-01 3.386900000000000327e-02 6.045770000000000310e-01
1.413394882920760393e+09 -1.054928000000000088e+00 4.274950000000000139e-01 1.332832000000000017e+00 2.632500000000000118e-02 -7.954170000000000407e-01 3.389999999999999958e-02 6.045409999999999950e-01
1.413394882925760508e+09 -1.054964000000000013e+00 4.274729999999999919e-01 1.332827999999999902e+00 2.636000000000000149e-02 -7.954390000000000072e-01 3.395100000000000201e-02 6.045080000000000453e-01
