# time x y z qx qy qz qw
1.413393887225760460e+09 -1.001978999999999953e+00 4.793020000000000058e-01 1.329542000000000002e+00 2.237400000000000153e-02 -8.051469999999999461e-01 2.401899999999999868e-02 5.921659999999999702e-01
1.413393887230760336e+09 -1.002129999999999965e+00 4.792950000000000266e-01 1.329533000000000076e+00 2.232900000000000162e-02 -8.051549999999999541e-01 2.398399999999999838e-02 5.921589999999999909e-01
1.413393887235760450e+09 -1.002280000000000060e+00 4.792850000000000166e-01 1.329523999999999928e+00 2.229199999999999932e-02 -8.051679999999999948e-01 2.397799999999999931e-02 5.921419999999999462e-01
1.413393887240760565e+09 -1.002426000000000039e+00 4.792699999999999738e-01 1.329515000000000002e+00 2.228400000000000172e-02 -8.051669999999999661e-01 2.400400000000000103e-02 5.921440000000000037e-01
1.413393887245760441e+09 -1.002569000000000043e+00 4.792469999999999786e-01 1.329504000000000019e+00 2.230899999999999897e-02 -8.051620000000000443e-01 2.404200000000000087e-02 5.921469999999999789e-01
1.413393887250760555e+09 -1.002710999999999908e+00 4.792199999999999793e-01 1.329491999999999896e+00 2.235399999999999887e-02 -8.051700000000000523e-01 2.408499999999999877e-02 5.921330000000000204e-01
1.413393887255760431e+09 -1.002850000000000019e+00 4.791929999999999801e-01 1.329477000000000020e+00 2.239299999999999971e-02 -8.051880000000000148e-01 2.412699999999999914e-02 5.921049999999999924e-01
1.413393887260760546e+09 -1.002982999999999958e+00 4.791750000000000176e-01 1.329460000000000086e+00 2.239700000000000024e-02 -8.051939999999999653e-01 2.414200000000000026e-02 5.920959999999999557e-01
1.413393887265760422e+09 -1.003114000000000061e+00 4.791679999999999828e-01 1.329442000000000013e+00 2.236700000000000146e-02 -8.051949999999999941e-01 2.410999999999999949e-02 5.920969999999999844e-01
1.413393887270760536e+09 -1.003241999999999967e+00 4.791670000000000096e-01 1.329425000000000079e+00 2.232599999999999862e-02 -8.052059999999999773e-01 2.404999999999999846e-02 5.920860000000000012e-01
1.413393887275760412e+09 -1.003371999999999931e+00 4.791639999999999788e-01 1.329407000000000005e+00 2.230199999999999891e-02 -8.052209999999999646e-01 2.399899999999999950e-02 5.920699999999999852e-01
1.413393887280760527e+09 -1.003492999999999968e+00 4.791529999999999956e-01 1.329388999999999932e+00 2.230400000000000091e-02 -8.052249999999999686e-01 2.397799999999999931e-02 5.920649999999999524e-01
1.413393887285760403e+09 -1.003611000000000031e+00 4.791360000000000063e-01 1.329371000000000080e+00 2.232200000000000156e-02 -8.052259999999999973e-01 2.398799999999999891e-02 5.920619999999999772e-01
1.413393887290760517e+09 -1.003724000000000061e+00 4.791119999999999823e-01 1.329355999999999982e+00 2.236000000000000140e-02 -8.052340000000000053e-01 2.401599999999999915e-02 5.920490000000000475e-01
1.413393887295760393e+09 -1.003835000000000033e+00 4.790860000000000118e-01 1.329342999999999941e+00 2.240899999999999836e-02 -8.052439999999999598e-01 2.405300000000000146e-02 5.920320000000000027e-01
1.413393887300760508e+09 -1.003941999999999890e+00 4.790659999999999918e-01 1.329329999999999901e+00 2.243099999999999955e-02 -8.052470000000000461e-01 2.409000000000000030e-02 5.920250000000000234e-01
1.413393887305760145e+09 -1.004045999999999994e+00 4.790579999999999838e-01 1.329318999999999917e+00 2.240299999999999930e-02 -8.052430000000000421e-01 2.409599999999999936e-02 5.920309999999999739e-01
1.413393887310760498e+09 -1.004145999999999983e+00 4.790579999999999838e-01 1.329309000000000074e+00 2.234600000000000128e-02 -8.052519999999999678e-01 2.406000000000000152e-02 5.920229999999999659e-01
1.413393887315760612e+09 -1.004242000000000079e+00 4.790570000000000106e-01 1.329301000000000066e+00 2.229400000000000132e-02 -8.052589999999999471e-01 2.402100000000000068e-02 5.920170000000000154e-01
1.413393887320760489e+09 -1.004334000000000060e+00 4.790530000000000066e-01 1.329293000000000058e+00 2.225200000000000095e-02 -8.052629999999999511e-01 2.400800000000000156e-02 5.920140000000000402e-01
1.413393887325760603e+09 -1.004445999999999950e+00 4.790369999999999906e-01 1.329285999999999968e+00 2.223599999999999882e-02 -8.052639999999999798e-01 2.401800000000000115e-02 5.920130000000000114e-01
1.413393887330760479e+09 -1.004534000000000038e+00 4.790179999999999993e-01 1.329280999999999935e+00 2.226099999999999954e-02 -8.052700000000000413e-01 2.405600000000000099e-02 5.920009999999999994e-01
1.413393887335760593e+09 -1.004620000000000068e+00 4.789939999999999753e-01 1.329275999999999902e+00 2.231299999999999950e-02 -8.052669999999999551e-01 2.410599999999999896e-02 5.920020000000000282e-01
1.413393887340760469e+09 -1.004702999999999902e+00 4.789740000000000109e-01 1.329272000000000009e+00 2.234799999999999981e-02 -8.052620000000000333e-01 2.415600000000000039e-02 5.920060000000000322e-01
1.413393887345760584e+09 -1.004782999999999982e+00 4.789630000000000276e-01 1.329269000000000034e+00 2.233900000000000122e-02 -8.052559999999999718e-01 2.416899999999999951e-02 5.920130000000000114e-01
1.413393887350760460e+09 -1.004858000000000029e+00 4.789640000000000009e-01 1.329267999999999894e+00 2.231100000000000097e-02 -8.052470000000000461e-01 2.412100000000000008e-02 5.920290000000000274e-01
1.413393887355760574e+09 -1.004928000000000043e+00 4.789680000000000049e-01 1.329264999999999919e+00 2.227300000000000113e-02 -8.052430000000000421e-01 2.406499999999999959e-02 5.920379999999999532e-01
1.413393887360760689e+09 -1.004992000000000107e+00 4.789700000000000069e-01 1.329258999999999968e+00 2.224200000000000135e-02 -8.052439999999999598e-01 2.402999999999999928e-02 5.920389999999999819e-01
1.413393887365760565e+09 -1.005050999999999917e+00 4.789669999999999761e-01 1.329250999999999960e+00 2.223299999999999929e-02 -8.052369999999999806e-01 2.402400000000000022e-02 5.920490000000000475e-01
1.413393887370760441e+09 -1.005106999999999973e+00 4.789570000000000216e-01 1.329242000000000035e+00 2.224399999999999988e-02 -8.052310000000000301e-01 2.404299999999999840e-02 5.920570000000000555e-01
1.413393887375760555e+09 -1.005211000000000077e+00 4.789300000000000224e-01 1.329229999999999912e+00 2.227900000000000019e-02 -8.052289999999999726e-01 2.408300000000000024e-02 5.920560000000000267e-01
1.413393887380760431e+09 -1.005273000000000083e+00 4.789120000000000044e-01 1.329215999999999953e+00 2.232599999999999862e-02 -8.052380000000000093e-01 2.412800000000000014e-02 5.920400000000000107e-01
1.413393887385760546e+09 -1.005330999999999975e+00 4.789039999999999964e-01 1.329201000000000077e+00 2.233299999999999869e-02 -8.052449999999999886e-01 2.415399999999999839e-02 5.920290000000000274e-01
1.413393887390760422e+09 -1.005384999999999973e+00 4.789089999999999736e-01 1.329185999999999979e+00 2.230000000000000038e-02 -8.052479999999999638e-01 2.413300000000000167e-02 5.920269999999999699e-01
1.413393887395760536e+09 -1.005435999999999996e+00 4.789200000000000124e-01 1.329174000000000078e+00 2.225299999999999848e-02 -8.052610000000000046e-01 2.407499999999999918e-02 5.920130000000000114e-01
1.413393887400760412e+09 -1.005481999999999987e+00 4.789320000000000244e-01 1.329163000000000094e+00 2.221199999999999911e-02 -8.052810000000000246e-01 2.402299999999999922e-02 5.919889999999999874e-01
1.413393887405760527e+09 -1.005525000000000002e+00 4.789390000000000036e-01 1.329155000000000086e+00 2.218799999999999939e-02 -8.053000000000000158e-01 2.399799999999999850e-02 5.919659999999999922e-01
1.413393887410760403e+09 -1.005563999999999902e+00 4.789390000000000036e-01 1.329151999999999889e+00 2.218499999999999986e-02 -8.053080000000000238e-01 2.400499999999999856e-02 5.919550000000000090e-01
1.413393887415760756e+09 -1.005600999999999967e+00 4.789309999999999956e-01 1.329150000000000054e+00 2.221599999999999964e-02 -8.053200000000000358e-01 2.403399999999999981e-02 5.919360000000000177e-01
1.413393887420760393e+09 -1.005635999999999974e+00 4.789169999999999816e-01 1.329150999999999971e+00 2.227499999999999966e-02 -8.053280000000000438e-01 2.408300000000000024e-02 5.919210000000000305e-01
1.413393887425760508e+09 -1.005744999999999889e+00 4.788910000000000111e-01 1.329147000000000078e+00 2.230400000000000091e-02 -8.053390000000000271e-01 2.413399999999999920e-02 5.919029999999999569e-01
1.413393887430760384e+09 -1.005786999999999987e+00 4.788879999999999804e-01 1.329151999999999889e+00 2.229599999999999985e-02 -8.053439999999999488e-01 2.416199999999999945e-02 5.918949999999999489e-01
1.413393887435760498e+09 -1.005822999999999912e+00 4.788939999999999864e-01 1.329158999999999979e+00 2.225900000000000101e-02 -8.053430000000000311e-01 2.413399999999999920e-02 5.918989999999999529e-01
1.413393887440760612e+09 -1.005854999999999944e+00 4.789039999999999964e-01 1.329166000000000070e+00 2.221100000000000158e-02 -8.053500000000000103e-01 2.408400000000000124e-02 5.918940000000000312e-01
1.413393887445760489e+09 -1.005881000000000025e+00 4.789120000000000044e-01 1.329172000000000020e+00 2.216900000000000120e-02 -8.053580000000000183e-01 2.405799999999999952e-02 5.918849999999999945e-01
