# time x y z qx qy qz qw
1.403715274302142859e+09 8.786119999999999486e-01 2.142469999999999875e+00 9.472620000000000484e-01 -8.284589999999999455e-01 -5.895600000000000146e-02 -5.536410000000000498e-01 6.051399999999999835e-02
1.403715274307142973e+09 8.786580000000000501e-01 2.142398000000000025e+00 9.472519999999999829e-01 -8.284329999999999750e-01 -5.905099999999999932e-02 -5.536640000000000450e-01 6.057099999999999984e-02
1.403715274312143087e+09 8.787030000000000118e-01 2.142316999999999805e+00 9.472420000000000284e-01 -8.284049999999999470e-01 -5.909999999999999976e-02 -5.536969999999999947e-01 6.060000000000000109e-02
1.403715274317142963e+09 8.787460000000000271e-01 2.142224999999999824e+00 9.472300000000000164e-01 -8.283949999999999925e-01 -5.909500000000000169e-02 -5.537149999999999572e-01 6.057699999999999890e-02
1.403715274322143078e+09 8.787869999999999848e-01 2.142125000000000057e+00 9.472129999999999717e-01 -8.284099999999999797e-01 -5.905699999999999839e-02 -5.537039999999999740e-01 6.051100000000000229e-02
1.403715274327142954e+09 8.788259999999999961e-01 2.142021000000000175e+00 9.471950000000000092e-01 -8.284299999999999997e-01 -5.899399999999999783e-02 -5.536900000000000155e-01 6.042999999999999761e-02
1.403715274332143068e+09 8.788620000000000321e-01 2.141919000000000128e+00 9.471810000000000507e-01 -8.284340000000000037e-01 -5.893799999999999734e-02 -5.536969999999999947e-01 6.035100000000000187e-02
1.403715274337142944e+09 8.788960000000000106e-01 2.141824999999999868e+00 9.471709999999999852e-01 -8.284209999999999630e-01 -5.890999999999999709e-02 -5.537269999999999692e-01 6.029199999999999837e-02
1.403715274342143059e+09 8.789270000000000138e-01 2.141742999999999952e+00 9.471650000000000347e-01 -8.283960000000000212e-01 -5.890999999999999709e-02 -5.537659999999999805e-01 6.027300000000000019e-02
1.403715274347142935e+09 8.789580000000000171e-01 2.141674000000000078e+00 9.471589999999999732e-01 -8.283679999999999932e-01 -5.893000000000000321e-02 -5.538020000000000165e-01 6.031099999999999656e-02
1.403715274352143049e+09 8.789890000000000203e-01 2.141611999999999849e+00 9.471479999999999899e-01 -8.283530000000000060e-01 -5.896300000000000152e-02 -5.538129999999999997e-01 6.038600000000000217e-02
1.403715274357142925e+09 8.790170000000000483e-01 2.141551000000000204e+00 9.471349999999999492e-01 -8.283530000000000060e-01 -5.899700000000000083e-02 -5.538009999999999877e-01 6.045600000000000279e-02
1.403715274362143040e+09 8.790449999999999653e-01 2.141483000000000025e+00 9.471230000000000482e-01 -8.283620000000000427e-01 -5.901100000000000095e-02 -5.537830000000000252e-01 6.048900000000000110e-02
1.403715274367142916e+09 8.790719999999999645e-01 2.141404999999999781e+00 9.471140000000000114e-01 -8.283709999999999685e-01 -5.899399999999999783e-02 -5.537750000000000172e-01 6.045699999999999685e-02
1.403715274372143030e+09 8.790980000000000461e-01 2.141316999999999915e+00 9.471100000000000074e-01 -8.283669999999999645e-01 -5.893400000000000027e-02 -5.537959999999999550e-01 6.038199999999999817e-02
1.403715274377142668e+09 8.791240000000000165e-01 2.141230999999999884e+00 9.471079999999999499e-01 -8.283599999999999852e-01 -5.887200000000000072e-02 -5.538220000000000365e-01 6.029799999999999743e-02
1.403715274382143021e+09 8.791489999999999583e-01 2.141160000000000174e+00 9.471019999999999994e-01 -8.283610000000000140e-01 -5.884699999999999653e-02 -5.538260000000000405e-01 6.027300000000000019e-02
1.403715274387142897e+09 8.791740000000000110e-01 2.141115000000000101e+00 9.470910000000000162e-01 -8.283700000000000507e-01 -5.890000000000000097e-02 -5.537990000000000412e-01 6.033399999999999874e-02
1.403715274392143011e+09 8.791999999999999815e-01 2.141090999999999855e+00 9.470769999999999467e-01 -8.283909999999999885e-01 -5.902899999999999814e-02 -5.537400000000000100e-01 6.045999999999999985e-02
1.403715274397142887e+09 8.792250000000000343e-01 2.141070000000000029e+00 9.470650000000000457e-01 -8.284080000000000332e-01 -5.917000000000000037e-02 -5.536860000000000115e-01 6.059400000000000203e-02
1.403715274402143002e+09 8.792560000000000375e-01 2.141017999999999866e+00 9.470549999999999802e-01 -8.284150000000000125e-01 -5.924700000000000105e-02 -5.536600000000000410e-01 6.065700000000000258e-02
