[rgbd\paper_rgbd_b1] b5, b6, b8 (RMSE: 0.04214)
[rgbd\paper_rgbd_b10] b12, b2, b6 (RMSE: 0.00000)
[rgbd\paper_rgbd_b11] b11, b12, b14 (RMSE: 0.01176)
[rgbd\paper_rgbd_b12] b15, b17, b20 (RMSE: 0.00095)
[rgbd\paper_rgbd_b13] b1, b10, b9 (RMSE: 0.33636)
[rgbd\paper_rgbd_b14] b5, b8, b9 (RMSE: 0.02631)
[rgbd\paper_rgbd_b15] b11, b4, b9 (RMSE: 0.47894)
[rgbd\paper_rgbd_b16] b16, b18, b20 (RMSE: 0.02044)
[rgbd\paper_rgbd_b17] b12, b13, b19 (RMSE: 0.01401)
[rgbd\paper_rgbd_b18] b12, b16, b18 (RMSE: 0.01115)
[rgbd\paper_rgbd_b19] b14, b16, b2 (RMSE: 0.00000)
[rgbd\paper_rgbd_b2] b14, b2, b21 (RMSE: 0.00000)
[rgbd\paper_rgbd_b20] b12, b15, b17 (RMSE: 0.54413)
[rgbd\paper_rgbd_b3] b12, b14, b20 (RMSE: 0.00000)
[rgbd\paper_rgbd_b4] b14, b16, b3 (RMSE: 0.02084)
[rgbd\paper_rgbd_b5] b2, b3, b9 (RMSE: 0.00000)
[rgbd\paper_rgbd_b6] b12, b17, b19 (RMSE: 0.09812)
[rgbd\paper_rgbd_b7] b12, b5, b6 (RMSE: 0.05871)
[rgbd\paper_rgbd_b8] b20, b21, b9 (RMSE: 0.00000)
[rgbd\paper_rgbd_b9] b12, b15, b17 (RMSE: 0.47572)
