# time x y z qx qy qz qw
1.403638519492829323e+09 4.460675000000000168e+00 -1.680514999999999981e+00 5.796139999999999626e-01 -7.576100000000000056e-01 -3.486290000000000222e-01 -4.977110000000000145e-01 2.382610000000000006e-01
1.403638519497829437e+09 4.460706000000000060e+00 -1.680522999999999989e+00 5.795919999999999961e-01 -7.576159999999999561e-01 -3.486210000000000142e-01 -4.977090000000000125e-01 2.382610000000000006e-01
1.403638519502829552e+09 4.460735999999999812e+00 -1.680530000000000079e+00 5.795709999999999473e-01 -7.576209999999999889e-01 -3.486119999999999775e-01 -4.977059999999999818e-01 2.382620000000000016e-01
1.403638519507829428e+09 4.460765999999999565e+00 -1.680536000000000030e+00 5.795500000000000096e-01 -7.576249999999999929e-01 -3.486060000000000270e-01 -4.977030000000000065e-01 2.382640000000000036e-01
1.403638519512829542e+09 4.460795000000000066e+00 -1.680542999999999898e+00 5.795299999999999896e-01 -7.576270000000000504e-01 -3.486029999999999962e-01 -4.976999999999999758e-01 2.382680000000000076e-01
1.403638519517829418e+09 4.460823000000000427e+00 -1.680549000000000071e+00 5.795109999999999983e-01 -7.576270000000000504e-01 -3.486029999999999962e-01 -4.976999999999999758e-01 2.382700000000000096e-01
1.403638519522829533e+09 4.460850999999999900e+00 -1.680555000000000021e+00 5.794930000000000359e-01 -7.576249999999999929e-01 -3.486060000000000270e-01 -4.977010000000000045e-01 2.382690000000000086e-01
1.403638519527829409e+09 4.460879000000000261e+00 -1.680560999999999972e+00 5.794770000000000199e-01 -7.576239999999999641e-01 -3.486040000000000250e-01 -4.977039999999999798e-01 2.382690000000000086e-01
1.403638519532829523e+09 4.460905999999999594e+00 -1.680566999999999922e+00 5.794629999999999503e-01 -7.576249999999999929e-01 -3.486000000000000210e-01 -4.977059999999999818e-01 2.382660000000000056e-01
1.403638519537829399e+09 4.460931999999999675e+00 -1.680573000000000095e+00 5.794479999999999631e-01 -7.576230000000000464e-01 -3.486060000000000270e-01 -4.977050000000000085e-01 2.382650000000000046e-01
1.403638519542829514e+09 4.460957999999999757e+00 -1.680579000000000045e+00 5.794329999999999758e-01 -7.576209999999999889e-01 -3.486159999999999815e-01 -4.977010000000000045e-01 2.382660000000000056e-01
1.403638519547829390e+09 4.460982999999999699e+00 -1.680584000000000078e+00 5.794179999999999886e-01 -7.576209999999999889e-01 -3.486199999999999855e-01 -4.976990000000000025e-01 2.382640000000000036e-01
1.403638519552829504e+09 4.461007000000000389e+00 -1.680590000000000028e+00 5.794040000000000301e-01 -7.576220000000000176e-01 -3.486159999999999815e-01 -4.977030000000000065e-01 2.382569999999999966e-01
1.403638519557829618e+09 4.461030000000000051e+00 -1.680593999999999921e+00 5.793909999999999894e-01 -7.576230000000000464e-01 -3.486110000000000042e-01 -4.977079999999999838e-01 2.382529999999999926e-01
1.403638519562829494e+09 4.461052999999999713e+00 -1.680598000000000036e+00 5.793789999999999774e-01 -7.576190000000000424e-01 -3.486139999999999795e-01 -4.977099999999999858e-01 2.382549999999999946e-01
1.403638519567829609e+09 4.461075000000000124e+00 -1.680601999999999929e+00 5.793679999999999941e-01 -7.576169999999999849e-01 -3.486179999999999835e-01 -4.977079999999999838e-01 2.382630000000000026e-01
1.403638519572829485e+09 4.461096999999999646e+00 -1.680606000000000044e+00 5.793570000000000109e-01 -7.576209999999999889e-01 -3.486150000000000082e-01 -4.976990000000000025e-01 2.382700000000000096e-01
1.403638519577829599e+09 4.461117999999999917e+00 -1.680609999999999937e+00 5.793460000000000276e-01 -7.576260000000000217e-01 -3.486130000000000062e-01 -4.976909999999999945e-01 2.382740000000000136e-01
1.403638519582829475e+09 4.461139000000000188e+00 -1.680614000000000052e+00 5.793350000000000444e-01 -7.576300000000000257e-01 -3.486119999999999775e-01 -4.976860000000000173e-01 2.382769999999999888e-01
1.403638519587829590e+09 4.461159999999999570e+00 -1.680619000000000085e+00 5.793249999999999789e-01 -7.576319999999999721e-01 -3.486079999999999735e-01 -4.976829999999999865e-01 2.382799999999999918e-01
